LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,77.665,False,0.0,,25.796,22.803,262.0,268.0,286.0,210.0,77.665,SOFT,4.0,1,1.0,0.0,0,21.7,53.8,1021.5,36.3,16,0.5
2.0,74.978,False,0.0,26.015,26.037,22.926,274.0,266.0,285.0,281.0,74.978,SOFT,5.0,1,1.0,0.0,0,21.6,53.7,1021.6,36.1,53,0.5
3.0,74.813,False,0.0,26.031,26.015,22.767,275.0,267.0,286.0,,74.813,SOFT,6.0,1,1.0,0.0,0,21.5,52.8,1021.5,35.9,107,0.6
4.0,74.917,False,0.0,25.926,26.033,22.958,276.0,268.0,287.0,283.0,74.813,SOFT,7.0,1,1.0,0.0,0,21.4,53.7,1021.5,36.2,14,0.3
5.0,74.882,False,0.0,25.846,26.055,22.981,,269.0,288.0,284.0,74.813,SOFT,8.0,1,1.0,0.0,0,21.6,52.9,1021.5,36.5,282,0.1
6.0,74.9,False,0.0,25.887,26.082,22.931,277.0,268.0,289.0,286.0,74.813,SOFT,9.0,1,1.0,0.0,0,21.7,51.9,1021.4,36.4,203,0.5
7.0,75.108,False,0.0,25.962,26.223,22.923000000000002,278.0,269.0,291.0,288.0,74.813,SOFT,10.0,1,1.0,0.0,0,21.9,51.8,1021.5,36.5,19,0.4
8.0,75.138,False,0.0,26.044,26.15,22.944,,268.0,286.0,,74.813,SOFT,11.0,1,1.0,0.0,0,21.8,52.1,1021.4,36.9,53,0.6
9.0,75.133,False,0.0,26.087,26.13,22.916,275.0,268.0,286.0,283.0,74.813,SOFT,12.0,1,1.0,0.0,0,21.7,52.8,1021.5,36.8,40,0.5
10.0,75.061,False,0.0,25.977,26.075,23.009,277.0,268.0,287.0,285.0,74.813,SOFT,13.0,1,1.0,0.0,0,21.5,53.7,1021.5,36.4,100,0.3
11.0,75.228,False,0.0,25.934,26.184,23.11,,268.0,286.0,,74.813,SOFT,14.0,1,1.0,0.0,0,21.5,54.8,1021.5,36.3,53,0.1
12.0,74.917,False,0.0,25.919,26.1,22.898,278.0,268.0,288.0,,74.813,SOFT,15.0,1,1.0,0.0,0,21.4,54.0,1021.5,36.0,22,0.5
13.0,75.062,False,0.0,25.918,26.166,22.978,279.0,268.0,286.0,290.0,74.813,SOFT,16.0,1,1.0,0.0,0,21.5,54.9,1021.5,36.2,23,0.6
14.0,75.059,False,0.0,25.979,26.174,22.906,281.0,269.0,288.0,289.0,74.813,SOFT,17.0,1,1.0,0.0,0,21.7,54.4,1021.5,36.1,29,0.4
