LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,106.339,False,0.0,,29.563,44.929,111.0,275.0,293.0,304.0,106.339,MEDIUM,4.0,,2.0,1.48,0,25.8,56.3,960.0,37.5,117,1.0
2.0,99.613,False,0.0,25.323,29.545,44.745,108.0,274.0,293.0,300.0,99.613,MEDIUM,5.0,1,2.0,1.468,0,26.1,55.0,959.9,38.0,132,1.4
3.0,99.571,False,0.0,25.417,29.755,44.399,106.0,273.0,294.0,299.0,99.571,MEDIUM,6.0,1,2.0,1.263,0,26.1,57.1,960.1,37.5,111,1.4
4.0,100.024,False,0.0,25.489,29.675,44.86,,274.0,294.0,296.0,99.571,MEDIUM,7.0,1,2.0,1.595,0,26.0,56.7,960.1,37.5,111,1.3
5.0,99.408,False,0.0,25.362,29.678,44.368,107.0,277.0,294.0,297.0,99.408,MEDIUM,8.0,1,2.0,1.454,0,26.0,56.2,960.3,37.2,120,1.4
6.0,98.727,False,0.0,25.092,29.444,44.191,101.0,277.0,294.0,303.0,98.727,MEDIUM,9.0,1,2.0,1.3940000000000001,0,26.1,55.4,960.2,37.4,122,1.3
7.0,99.43,False,0.0,25.114,29.546,44.77,108.0,273.0,293.0,300.0,98.727,MEDIUM,10.0,1,2.0,1.62,0,26.1,54.0,960.3,37.6,109,1.2
8.0,99.059,False,0.0,25.185,29.68,44.194,106.0,275.0,293.0,297.0,98.727,MEDIUM,11.0,1,2.0,1.916,0,26.3,54.8,960.4,37.3,117,1.1
9.0,99.122,False,0.0,25.138,29.609,44.375,,277.0,293.0,300.0,98.727,MEDIUM,12.0,1,2.0,1.77,0,26.5,53.9,960.3,37.8,112,1.4
10.0,98.95,False,0.0,25.213,29.475,44.262,107.0,277.0,295.0,303.0,98.727,MEDIUM,13.0,1,2.0,1.942,0,26.5,53.9,960.3,37.8,112,1.4
11.0,99.214,False,0.0,25.393,29.588,44.233,104.0,277.0,292.0,301.0,98.727,MEDIUM,14.0,1,2.0,2.179,0,26.7,52.5,960.5,37.5,114,1.4
12.0,99.307,False,0.0,25.513,29.606,44.188,99.0,278.0,292.0,301.0,98.727,MEDIUM,15.0,1,2.0,2.054,0,26.7,51.9,960.5,37.3,126,1.2
13.0,99.214,False,0.0,25.408,29.617,44.189,101.0,276.0,295.0,302.0,98.727,MEDIUM,16.0,1,2.0,2.339,0,26.8,52.9,960.6,37.9,123,1.3
14.0,99.015,False,0.0,25.203,29.548000000000002,44.264,103.0,276.0,294.0,300.0,98.727,MEDIUM,17.0,1,2.0,2.194,0,27.1,51.1,960.7,38.9,136,1.3
15.0,100.297,False,0.0,25.841,29.729,44.727,104.0,277.0,294.0,303.0,98.727,MEDIUM,18.0,1,2.0,2.98,0,27.4,49.2,960.7,38.9,138,1.0
16.0,99.199,False,0.0,25.117,29.553,44.529,106.0,275.0,293.0,299.0,98.727,MEDIUM,19.0,1,2.0,2.784,0,27.4,49.2,960.7,38.9,138,1.0
17.0,99.246,False,0.0,25.417,29.65,44.179,101.0,277.0,295.0,301.0,98.727,MEDIUM,20.0,1,2.0,3.104,0,27.0,50.6,960.7,38.6,121,1.2
18.0,118.099,True,29.686,25.158,29.72,63.221,99.0,278.0,,304.0,98.727,MEDIUM,21.0,1,3.0,22.168,0,27.0,49.4,960.7,38.3,121,1.4
19.0,99.966,False,0.0,28.054,29.066,42.846,112.0,277.0,296.0,298.0,98.727,HARD,1.0,1,3.0,12.241,0,26.9,49.5,960.8,38.3,118,1.4
20.0,97.776,False,0.0,24.861,29.052,43.863,110.0,278.0,293.0,300.0,97.776,HARD,2.0,1,2.0,10.497,0,26.8,50.2,960.7,38.5,134,1.5
21.0,97.516,False,0.0,24.755,29.186,43.575,105.0,278.0,294.0,301.0,97.516,HARD,3.0,1,2.0,8.703,0,26.7,51.2,960.7,38.5,99,1.4
22.0,97.052,False,0.0,24.727,29.093,43.232,108.0,278.0,296.0,306.0,97.052,HARD,4.0,1,2.0,6.057,0,26.7,51.2,960.7,38.5,99,1.4
23.0,98.086,False,0.0,24.832,29.22,44.034,109.0,278.0,295.0,300.0,97.052,HARD,5.0,1,2.0,5.043,0,26.4,51.6,960.8,38.4,120,1.3
24.0,97.915,False,0.0,24.946,29.323,43.646,110.0,279.0,295.0,300.0,97.052,HARD,6.0,1,1.0,0.0,0,26.2,53.1,960.9,37.2,102,1.7
25.0,97.706,False,0.0,24.854,29.422,43.43,108.0,277.0,294.0,299.0,97.052,HARD,7.0,1,1.0,0.0,0,26.2,54.7,960.8,37.0,127,1.8
26.0,98.278,False,0.0,25.123,29.329,43.826,106.0,277.0,292.0,299.0,97.052,HARD,8.0,1,1.0,0.0,0,25.8,56.9,960.8,35.6,124,1.8
27.0,97.727,False,0.0,24.991,29.085,43.651,110.0,278.0,292.0,301.0,97.052,HARD,9.0,1,1.0,0.0,0,25.4,58.0,960.9,35.6,127,1.1
28.0,97.657,False,0.0,24.882,29.237,43.538,108.0,277.0,294.0,302.0,97.052,HARD,10.0,1,1.0,0.0,0,25.4,57.6,960.9,35.6,126,1.3
29.0,98.04,False,0.0,24.847,29.186,44.007,107.0,278.0,295.0,305.0,97.052,HARD,11.0,1,1.0,0.0,0,25.4,58.5,960.8,35.5,116,1.4
30.0,97.833,False,0.0,24.883,29.378,43.572,108.0,278.0,293.0,300.0,97.052,HARD,12.0,1,1.0,0.0,0,25.4,58.9,960.9,35.9,105,1.2
31.0,97.844,False,0.0,24.983,29.454,43.407,103.0,279.0,294.0,300.0,97.052,HARD,13.0,1,1.0,0.0,0,25.3,58.4,961.1,36.5,113,1.3
32.0,116.764,True,30.161,24.776,29.083,62.905,107.0,278.0,,302.0,97.052,HARD,14.0,1,4.0,16.131,0,25.2,59.3,961.1,35.6,117,1.1
33.0,100.458,False,0.0,28.492,29.056,42.91,104.0,278.0,298.0,301.0,97.052,MEDIUM,4.0,1,4.0,18.16,0,24.9,60.5,961.0,34.7,125,1.3
34.0,96.743,False,0.0,24.72,28.885,43.138,107.0,280.0,298.0,304.0,96.743,MEDIUM,5.0,1,4.0,16.237,0,25.0,60.4,960.9,34.9,114,1.2
35.0,96.404,False,0.0,24.512,28.969,42.923,110.0,283.0,294.0,309.0,96.404,MEDIUM,6.0,1,3.0,14.23,0,24.9,60.3,961.2,34.9,118,1.3
36.0,96.579,False,0.0,24.649,29.03,42.9,107.0,280.0,295.0,298.0,96.404,MEDIUM,7.0,1,3.0,12.244,0,25.0,60.3,961.1,34.7,107,1.4
37.0,96.582,False,0.0,24.617,29.047,42.918,112.0,279.0,295.0,303.0,96.404,MEDIUM,8.0,1,3.0,9.689,0,25.0,60.7,961.0,34.5,107,1.5
38.0,96.863,False,0.0,24.744,29.194,42.925,109.0,280.0,294.0,301.0,96.404,MEDIUM,9.0,1,3.0,8.902,0,25.1,61.6,961.1,34.7,110,1.2
39.0,96.973,False,0.0,24.685,29.062,43.226,108.0,280.0,294.0,305.0,96.404,MEDIUM,10.0,1,3.0,8.417,0,25.1,61.3,961.2,34.9,103,1.3
40.0,97.033,False,0.0,24.511,29.112,43.41,,281.0,299.0,309.0,96.404,MEDIUM,11.0,1,3.0,7.268,0,25.0,62.4,961.1,34.6,111,1.3
41.0,97.081,False,0.0,24.879,28.994,43.208,104.0,281.0,297.0,329.0,96.404,MEDIUM,12.0,1,3.0,6.664,0,24.9,64.0,961.0,34.7,119,1.4
42.0,96.849,False,0.0,24.589,28.995,43.265,109.0,282.0,298.0,308.0,96.404,MEDIUM,13.0,1,3.0,5.695,0,24.7,64.6,961.1,34.9,115,1.2
43.0,97.092,False,0.0,24.515,29.047,43.53,108.0,285.0,306.0,331.0,96.404,MEDIUM,14.0,1,3.0,5.147,0,24.5,64.7,961.2,34.2,113,1.2
44.0,97.45,False,0.0,24.673000000000002,29.355,43.422,106.0,281.0,293.0,331.0,96.404,MEDIUM,15.0,1,2.0,5.187,0,24.4,65.1,961.2,34.0,125,1.1
45.0,97.129,False,0.0,24.695,29.173,43.261,107.0,281.0,295.0,305.0,96.404,MEDIUM,16.0,1,2.0,4.774,0,24.3,65.5,961.0,33.7,106,1.2
46.0,97.558,False,0.0,24.784,29.227,43.547,102.0,283.0,296.0,308.0,96.404,MEDIUM,17.0,1,2.0,4.787,0,24.1,65.5,960.9,33.4,93,1.3
47.0,97.627,False,0.0,24.993,29.226,43.408,109.0,281.0,298.0,303.0,96.404,MEDIUM,18.0,1,2.0,3.983,0,24.1,65.4,960.8,33.4,106,1.3
48.0,97.459,False,0.0,24.842,29.254,43.363,105.0,284.0,298.0,309.0,96.404,MEDIUM,19.0,1,2.0,3.3529999999999998,0,24.1,66.3,961.1,33.2,105,1.3
49.0,97.43,False,0.0,24.887,29.087,43.456,100.0,283.0,295.0,337.0,96.404,MEDIUM,20.0,1,2.0,2.594,0,24.1,67.7,960.9,33.1,133,1.5
50.0,96.968,False,0.0,24.57,29.086,43.312,107.0,282.0,299.0,306.0,96.404,MEDIUM,21.0,1,2.0,1.616,0,24.2,67.7,960.9,33.1,102,1.2
51.0,97.413,False,0.0,24.62,29.125,43.668,103.0,283.0,309.0,309.0,96.404,MEDIUM,22.0,1,2.0,0.787,0,24.2,66.9,960.9,33.5,119,1.3
52.0,96.942,False,0.0,24.964,29.006,42.972,105.0,278.0,293.0,330.0,96.404,MEDIUM,23.0,1,1.0,0.0,0,24.2,66.4,961.0,33.7,129,1.4
53.0,97.143,False,0.0,24.532,29.21,43.401,103.0,282.0,287.0,309.0,96.404,MEDIUM,24.0,1,1.0,0.0,0,24.1,66.2,961.0,33.7,126,1.5
