LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,130.591,True,0.0,,49.222,36.335,211.0,118.0,,246.0,130.591,INTERMEDIATE,1.0,,13.0,12.522,0,26.6,72.6,978.5,31.7,88,0.3
2.0,,True,0.0,67.07,62.222,64.812,136.0,86.0,,,130.591,INTERMEDIATE,1.0,,13.0,,0,26.6,75.4,978.3,32.8,87,0.4
3.0,,True,35.245,,48.649,37.428,231.0,160.0,,,130.591,INTERMEDIATE,1.0,1,12.0,,0,27.7,72.3,977.4,36.4,81,0.6
4.0,120.218,False,0.0,63.481,32.276,24.461,266.0,227.0,247.0,,120.218,MEDIUM,1.0,1,12.0,,0,27.8,73.3,977.1,37.0,108,0.5
5.0,87.173,False,0.0,30.875,31.79,24.508,277.0,231.0,247.0,296.0,87.173,MEDIUM,2.0,1,11.0,,0,28.0,70.1,977.0,37.6,91,0.9
6.0,86.414,False,0.0,30.746,31.453,24.215,280.0,233.0,247.0,300.0,86.414,MEDIUM,3.0,1,11.0,,0,28.1,68.9,976.9,38.2,101,0.6
7.0,86.066,False,0.0,30.761,31.11,24.195,,230.0,252.0,297.0,86.066,MEDIUM,4.0,1,11.0,,0,28.1,69.5,977.0,38.6,104,0.8
8.0,85.854,False,0.0,30.341,31.235,24.278,273.0,234.0,250.0,314.0,85.854,MEDIUM,5.0,1,11.0,,0,28.1,67.2,976.9,39.1,135,0.6
9.0,85.907,False,0.0,30.389,31.314,24.204,281.0,233.0,250.0,309.0,85.854,MEDIUM,6.0,1,11.0,,0,28.3,68.4,977.0,39.1,102,0.5
10.0,85.806,False,0.0,30.554,31.246,24.006,264.0,234.0,250.0,,85.806,MEDIUM,7.0,1,11.0,,0,28.3,68.3,976.9,39.6,104,0.6
11.0,85.387,False,0.0,30.053,31.091,24.243,281.0,234.0,249.0,308.0,85.387,MEDIUM,8.0,1,11.0,,0,28.5,67.7,976.9,39.9,92,0.6
12.0,85.469,False,0.0,30.256,30.976,24.237,276.0,234.0,249.0,,85.387,MEDIUM,9.0,1,11.0,,0,28.6,66.7,976.9,41.1,75,0.7
13.0,85.143,False,0.0,30.003,30.799,24.341,280.0,230.0,250.0,307.0,85.143,MEDIUM,10.0,1,11.0,,0,28.8,65.2,976.8,41.6,101,0.7
14.0,85.041,False,0.0,30.427,30.628,23.986,277.0,234.0,248.0,312.0,85.041,MEDIUM,11.0,1,10.0,,0,28.8,64.8,977.0,41.8,105,1.1
15.0,84.479,False,0.0,30.055,30.458,23.966,280.0,235.0,248.0,296.0,84.479,MEDIUM,12.0,1,10.0,,0,28.7,65.5,977.0,41.7,92,1.0
16.0,83.832,False,0.0,29.77,30.192,23.87,281.0,235.0,247.0,295.0,83.832,MEDIUM,13.0,1,9.0,,0,28.7,66.7,976.9,42.1,121,0.9
