LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,99.532,False,0.0,,30.226,39.29,321.0,314.0,227.0,282.0,99.532,MEDIUM,1.0,2,3.0,1.876,0,28.8,35.4,994.5,44.9,333,0.2
2.0,90.125,False,0.0,32.329,29.197,28.599,309.0,313.0,309.0,291.0,90.125,MEDIUM,2.0,2,2.0,1.256,0,29.2,34.1,994.5,44.8,221,0.2
3.0,85.808,False,0.0,28.111,29.137,28.56,314.0,324.0,309.0,318.0,85.808,MEDIUM,3.0,2,2.0,0.738,0,29.2,33.8,994.4,45.0,160,0.3
4.0,86.395,False,0.0,28.232,29.404,28.759,313.0,323.0,307.0,323.0,85.808,MEDIUM,4.0,2,2.0,0.82,0,28.9,32.5,994.5,45.2,83,0.2
5.0,86.377,False,0.0,28.244,29.412,28.721,314.0,323.0,308.0,325.0,85.808,MEDIUM,5.0,2,2.0,0.787,0,28.9,32.6,994.5,44.9,179,0.2
6.0,86.341,False,0.0,28.278,29.398,28.665,312.0,324.0,309.0,322.0,85.808,MEDIUM,6.0,2,2.0,0.709,0,28.7,32.8,994.5,44.5,243,0.2
7.0,87.159,False,0.0,28.2,29.471,29.488,314.0,323.0,308.0,337.0,85.808,MEDIUM,7.0,1,2.0,1.395,0,28.8,32.9,994.4,44.7,307,0.3
8.0,86.333,False,0.0,28.138,29.444,28.751,313.0,316.0,310.0,318.0,85.808,MEDIUM,8.0,1,2.0,0.939,0,28.9,32.7,994.5,44.4,279,0.2
9.0,86.531,False,0.0,28.1,29.53,28.901,,321.0,307.0,324.0,85.808,MEDIUM,9.0,1,2.0,1.03,0,28.9,33.1,994.4,43.9,351,0.3
10.0,86.499,False,0.0,28.044,29.614,28.841,314.0,323.0,308.0,326.0,85.808,MEDIUM,10.0,1,2.0,0.806,0,28.9,32.8,994.4,43.9,219,0.3
11.0,86.668,False,0.0,28.192,29.584,28.892,312.0,322.0,310.0,,85.808,MEDIUM,11.0,1,2.0,0.945,0,28.7,33.0,994.4,44.4,188,0.6
12.0,86.741,False,0.0,28.097,29.664,28.98,,324.0,311.0,330.0,85.808,MEDIUM,12.0,1,2.0,0.981,0,29.0,34.1,994.3,44.3,195,0.5
13.0,86.443,False,0.0,28.115,29.414,28.914,314.0,324.0,312.0,326.0,85.808,MEDIUM,13.0,1,2.0,0.918,0,29.2,34.5,994.3,44.3,200,0.2
14.0,86.691,False,0.0,28.068,29.622,29.001,316.0,324.0,310.0,327.0,85.808,MEDIUM,14.0,1,2.0,1.218,0,29.4,34.5,994.4,44.6,188,0.4
15.0,86.309,False,0.0,28.02,29.42,28.869,318.0,325.0,313.0,,85.808,MEDIUM,15.0,1,2.0,0.861,0,29.4,32.6,994.4,44.8,129,0.4
16.0,86.702,False,0.0,28.128,29.704,28.87,,325.0,313.0,329.0,85.808,MEDIUM,16.0,1,2.0,0.935,0,29.4,32.2,994.4,44.8,218,0.2
17.0,86.777,False,0.0,28.116,29.691,28.97,317.0,318.0,311.0,330.0,85.808,MEDIUM,17.0,1,2.0,1.147,0,29.3,31.9,994.3,44.9,159,0.3
18.0,86.78,False,0.0,28.205,29.674,28.901,,320.0,313.0,324.0,85.808,MEDIUM,18.0,1,2.0,1.01,0,29.1,32.5,994.3,45.0,152,0.6
19.0,86.812,False,0.0,28.155,29.528,29.129,315.0,326.0,311.0,328.0,85.808,MEDIUM,19.0,1,2.0,0.997,0,29.1,32.7,994.3,45.0,149,0.7
20.0,87.125,False,0.0,28.16,29.795,29.17,,324.0,310.0,326.0,85.808,MEDIUM,20.0,1,2.0,1.061,0,29.3,33.9,994.3,44.9,151,0.6
21.0,87.708,False,0.0,29.008,29.663,29.037,321.0,318.0,310.0,329.0,85.808,MEDIUM,21.0,1,2.0,1.434,0,29.3,33.9,994.4,45.0,162,0.6
22.0,87.466,False,0.0,28.285,29.903,29.278,314.0,315.0,306.0,328.0,85.808,MEDIUM,22.0,1,1.0,0.0,0,29.2,33.8,994.4,44.6,231,0.4
23.0,91.184,True,32.475,28.654,29.601,32.929,306.0,309.0,,315.0,85.808,MEDIUM,23.0,1,2.0,0.362,0,29.1,33.7,994.3,44.5,197,0.1
24.0,114.069,False,0.0,56.416,28.731,28.922,313.0,340.0,311.0,284.0,85.808,HARD,1.0,1,9.0,27.195,0,29.1,31.0,994.3,44.9,185,0.4
25.0,85.173,False,0.0,28.002,28.75,28.421,,324.0,313.0,324.0,85.173,HARD,2.0,1,8.0,21.513,0,29.2,30.2,994.2,44.9,179,0.5
26.0,,False,0.0,,,,,,,,85.173,HARD,3.0,1,,,0,29.2,30.2,994.2,44.9,179,0.5
