LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,86.704,False,0.0,,32.72,27.09,273.0,184.0,290.0,238.0,86.704,MEDIUM,6.0,1,3.0,1.767,0,19.8,39.3,1004.9,40.4,1,0.6
2.0,108.275,True,22.791,24.554,43.497,40.224,277.0,163.0,,294.0,86.704,MEDIUM,7.0,1,3.0,3.167,0,19.8,38.4,1005.1,40.4,354,1.1
3.0,142.886,True,22.107,51.804,44.63,46.452,208.0,104.0,,,86.704,MEDIUM,8.0,1,3.0,3.3689999999999998,0,20.0,37.9,1004.9,40.0,8,1.0
4.0,135.089,False,0.0,49.472,45.027,40.59,200.0,163.0,227.0,,86.704,MEDIUM,9.0,1,3.0,3.127,0,19.7,39.2,1005.0,39.5,8,0.6
5.0,120.539,False,0.0,35.356,44.844,40.339,182.0,163.0,213.0,183.0,86.704,MEDIUM,10.0,1,3.0,2.2720000000000002,0,19.9,38.6,1005.0,40.0,349,1.4
6.0,128.636,False,0.0,35.337,45.307,47.992,179.0,161.0,234.0,249.0,86.704,MEDIUM,11.0,1,3.0,0.536,0,19.8,39.2,1005.0,39.7,13,1.3
7.0,84.011,False,0.0,25.123,32.11,26.778,275.0,182.0,288.0,297.0,84.011,MEDIUM,12.0,1,2.0,0.997,0,19.7,38.5,1004.9,39.7,6,1.0
8.0,83.166,False,0.0,24.267,32.154,26.745,277.0,182.0,293.0,298.0,83.166,MEDIUM,13.0,1,2.0,0.685,0,19.8,38.7,1005.0,39.7,349,1.2
9.0,83.146,False,0.0,24.158,32.131,26.857,285.0,179.0,298.0,,83.146,MEDIUM,14.0,1,2.0,0.55,0,19.5,39.4,1005.0,39.2,4,0.5
10.0,83.631,False,0.0,24.228,32.182,27.221,284.0,181.0,292.0,316.0,83.146,MEDIUM,15.0,1,2.0,1.069,0,19.4,38.8,1005.0,39.2,345,0.7
11.0,84.704,False,0.0,25.49,32.336,26.878,281.0,179.0,291.0,296.0,83.146,MEDIUM,16.0,1,3.0,2.154,0,19.4,38.0,1005.0,39.7,34,1.0
12.0,82.568,False,0.0,24.082,31.745,26.741,270.0,184.0,293.0,,82.568,MEDIUM,17.0,1,3.0,2.1310000000000002,0,19.5,38.8,1005.1,40.5,19,0.7
13.0,82.928,False,0.0,24.004,32.029,26.895,276.0,186.0,293.0,298.0,82.568,MEDIUM,18.0,1,3.0,2.219,0,19.7,39.1,1005.0,40.5,21,0.8
14.0,83.037,False,0.0,23.989,32.046,27.002,274.0,181.0,292.0,297.0,82.568,MEDIUM,19.0,1,3.0,2.398,0,19.4,38.4,1005.0,39.7,37,0.7
15.0,82.737,False,0.0,23.995,31.883,26.859,,184.0,293.0,295.0,82.568,MEDIUM,20.0,1,3.0,2.209,0,19.5,38.7,1004.9,39.2,45,1.0
16.0,82.616,False,0.0,23.95,31.842,26.824,272.0,180.0,291.0,297.0,82.568,MEDIUM,21.0,1,3.0,2.2720000000000002,0,19.5,39.0,1004.9,39.2,339,1.0
17.0,83.118,False,0.0,24.364,31.939,26.815,273.0,179.0,291.0,300.0,82.568,MEDIUM,22.0,1,3.0,2.503,0,19.4,38.5,1004.9,39.5,340,0.8
18.0,82.61,False,0.0,23.972,31.938,26.7,276.0,184.0,293.0,295.0,82.568,MEDIUM,23.0,1,3.0,2.224,0,19.5,38.2,1005.0,39.7,347,0.8
19.0,82.581,False,0.0,23.99,31.94,26.651,280.0,182.0,293.0,301.0,82.568,MEDIUM,24.0,1,3.0,1.796,0,19.6,37.4,1004.9,39.9,9,0.8
20.0,83.617,False,0.0,24.04,32.421,27.156,286.0,181.0,298.0,296.0,82.568,MEDIUM,25.0,1,3.0,1.7570000000000001,0,19.5,38.1,1004.8,39.2,24,0.7
21.0,83.453,False,0.0,24.159,32.451,26.843,285.0,174.0,294.0,322.0,82.568,MEDIUM,26.0,1,3.0,2.198,0,19.4,38.0,1004.8,39.5,358,0.8
