LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,114.968,False,0.0,,38.679,32.889,216.0,309.0,161.0,212.0,114.968,HARD,1.0,1,17.0,11.971,0,19.2,58.7,1023.2,22.1,0,0.3
2.0,105.39,False,0.0,37.347,36.882,31.161,217.0,314.0,157.0,285.0,105.39,HARD,2.0,1,16.0,15.285,0,19.2,59.6,1023.2,22.0,58,0.3
3.0,103.964,False,0.0,36.596,35.848,31.52,238.0,320.0,155.0,304.0,103.964,HARD,3.0,1,16.0,17.581,0,19.2,59.3,1023.2,22.0,126,0.4
4.0,101.814,False,0.0,36.152,35.47,30.192,240.0,314.0,158.0,300.0,101.814,HARD,4.0,1,15.0,17.862,0,19.3,59.6,1023.2,22.0,0,0.6
5.0,102.08,False,0.0,36.066,35.193,30.821,242.0,322.0,157.0,309.0,101.814,HARD,5.0,1,15.0,18.546,0,19.3,58.9,1023.2,21.9,110,0.3
6.0,102.521,False,0.0,36.061,35.512,30.948,238.0,339.0,157.0,306.0,101.814,HARD,6.0,1,14.0,19.333,0,19.4,59.2,1023.2,22.0,241,0.5
7.0,102.384,False,0.0,35.856,35.459,31.069,240.0,323.0,158.0,307.0,101.814,HARD,7.0,1,14.0,19.426,0,19.4,59.8,1023.1,22.0,87,0.2
8.0,101.703,False,0.0,36.159,35.329,30.215,245.0,320.0,161.0,310.0,101.703,HARD,8.0,1,13.0,18.685,0,19.3,60.5,1023.1,21.9,112,0.4
9.0,101.952,False,0.0,35.985,35.161,30.806,246.0,323.0,153.0,298.0,101.703,HARD,9.0,1,13.0,18.211,0,19.3,60.3,1023.1,21.9,236,0.4
10.0,103.052,False,0.0,36.103,36.44,30.509,233.0,313.0,156.0,316.0,101.703,HARD,10.0,1,12.0,18.927,0,19.3,60.3,1023.2,21.9,289,0.5
11.0,102.048,False,0.0,36.299,35.371,30.378,247.0,299.0,159.0,301.0,101.703,HARD,11.0,1,12.0,18.409,0,19.4,60.3,1023.1,22.0,28,0.1
12.0,102.3,False,0.0,36.241,35.177,30.882,245.0,316.0,158.0,304.0,101.703,HARD,12.0,1,12.0,17.899,0,19.3,60.4,1023.1,22.0,243,0.4
13.0,101.548,False,0.0,36.169,35.058,30.321,244.0,322.0,161.0,306.0,101.548,HARD,13.0,1,10.0,16.897,0,19.3,60.4,1023.1,22.0,243,0.4
14.0,101.676,False,0.0,35.941,35.101,30.634,250.0,316.0,155.0,301.0,101.548,HARD,14.0,1,9.0,17.042,0,19.4,61.2,1023.1,21.9,0,0.2
15.0,101.745,False,0.0,36.14,35.311,30.294,245.0,313.0,163.0,298.0,101.548,HARD,15.0,1,6.0,17.426,0,19.4,60.9,1023.1,22.0,247,0.2
16.0,100.295,False,0.0,35.833,34.921,29.541,252.0,293.0,162.0,,100.295,HARD,16.0,1,6.0,16.546,0,19.4,60.9,1023.0,21.8,44,0.1
17.0,100.272,False,0.0,35.86,34.886,29.526,251.0,295.0,159.0,295.0,100.272,HARD,17.0,1,6.0,15.989,0,19.4,61.2,1023.1,21.9,110,0.1
18.0,100.178,False,0.0,35.826,34.768,29.584,250.0,296.0,156.0,298.0,100.178,HARD,18.0,1,6.0,15.304,0,19.4,61.1,1023.0,21.9,93,0.1
19.0,100.602,False,0.0,35.782,34.91,29.91,,302.0,159.0,304.0,100.178,HARD,19.0,1,6.0,15.057,0,19.5,61.4,1023.0,21.8,244,0.3
20.0,101.386,False,0.0,35.839,34.906,30.641,247.0,317.0,156.0,305.0,100.178,HARD,20.0,1,6.0,15.577,0,19.5,61.3,1023.0,21.8,102,0.2
21.0,101.095,False,0.0,35.872,34.777,30.446,250.0,320.0,158.0,304.0,100.178,HARD,21.0,1,6.0,15.983,0,19.5,60.9,1023.0,21.8,113,0.3
22.0,101.555,False,0.0,35.893,34.938,30.724,240.0,323.0,159.0,305.0,100.178,HARD,22.0,1,5.0,16.632,0,19.4,61.0,1023.0,21.8,66,0.3
23.0,101.112,False,0.0,35.72,34.827,30.565,247.0,323.0,155.0,315.0,100.178,HARD,23.0,1,5.0,16.956,0,19.4,61.0,1023.0,21.8,66,0.3
24.0,101.239,False,0.0,35.986,35.113,30.14,251.0,298.0,159.0,301.0,100.178,HARD,24.0,1,5.0,17.557,0,19.5,60.4,1023.0,21.8,0,0.3
25.0,101.044,False,0.0,35.9,35.141,30.003,248.0,295.0,157.0,300.0,100.178,HARD,25.0,1,5.0,17.544,0,19.4,61.1,1023.0,21.8,113,0.3
26.0,105.393,True,29.472,35.968,34.976,34.449,250.0,300.0,,,100.178,HARD,26.0,1,6.0,21.819,0,19.4,60.9,1023.0,21.7,245,0.3
27.0,119.772,False,0.0,55.66,34.154,29.958,252.0,304.0,168.0,302.0,100.178,MEDIUM,1.0,1,12.0,40.658,0,19.4,60.5,1023.0,21.6,73,0.1
28.0,98.396,False,0.0,34.811,34.351,29.234,249.0,300.0,169.0,318.0,98.396,MEDIUM,2.0,1,11.0,33.432,0,19.4,60.8,1023.1,21.6,162,0.2
29.0,98.91,False,0.0,35.378,34.258,29.274,250.0,301.0,166.0,300.0,98.396,MEDIUM,3.0,1,10.0,27.142,0,19.3,61.3,1022.9,21.6,224,0.1
30.0,99.676,False,0.0,35.311,34.559,29.806,249.0,312.0,161.0,,98.396,MEDIUM,4.0,1,10.0,27.271,0,19.3,61.1,1023.0,21.5,218,0.4
31.0,101.151,False,0.0,35.467,34.796,30.888,245.0,325.0,159.0,299.0,98.396,MEDIUM,5.0,1,10.0,29.062,0,19.3,61.1,1022.9,21.5,217,0.3
