LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,72.767,False,0.0,,31.042,21.337,288.0,230.0,267.0,287.0,72.767,MEDIUM,6.0,1,1.0,0.0,0,26.5,35.0,938.5,51.5,161,0.0
2.0,70.031,False,0.0,17.733,31.027,21.271,289.0,231.0,267.0,287.0,70.031,MEDIUM,7.0,1,1.0,0.0,0,26.5,35.5,938.5,51.5,279,0.2
3.0,69.834,False,0.0,17.716,30.903,21.215,291.0,230.0,270.0,291.0,69.834,MEDIUM,8.0,1,1.0,0.0,0,26.6,34.4,938.6,52.3,34,0.4
4.0,69.606,False,0.0,17.59,30.84,21.176,292.0,231.0,271.0,292.0,69.606,MEDIUM,9.0,1,1.0,0.0,0,26.6,34.4,938.6,51.8,108,0.2
5.0,69.666,False,0.0,17.569,30.815,21.282,293.0,230.0,271.0,292.0,69.606,MEDIUM,10.0,1,1.0,0.0,0,26.6,32.3,938.6,51.8,265,0.4
6.0,69.855,False,0.0,17.66,30.998,21.197,295.0,229.0,270.0,290.0,69.606,MEDIUM,11.0,1,1.0,0.0,0,26.6,32.3,938.6,52.2,345,0.2
7.0,69.872,False,0.0,17.657,30.998,21.217,297.0,231.0,268.0,289.0,69.606,MEDIUM,12.0,1,1.0,0.0,0,26.5,33.3,938.5,52.5,226,0.1
8.0,69.885,False,0.0,17.682,31.006,21.197,294.0,232.0,269.0,291.0,69.606,MEDIUM,13.0,1,1.0,0.0,0,26.5,33.5,938.5,52.2,190,0.3
9.0,69.747,False,0.0,17.65,30.925,21.172,295.0,231.0,269.0,291.0,69.606,MEDIUM,14.0,1,1.0,0.0,0,26.7,33.6,938.6,52.3,114,0.3
10.0,69.887,False,0.0,17.66,30.984,21.243,293.0,232.0,269.0,290.0,69.606,MEDIUM,15.0,1,1.0,0.0,0,26.7,32.8,938.5,53.1,0,0.3
11.0,69.901,False,0.0,17.712,30.972,21.217,295.0,232.0,269.0,290.0,69.606,MEDIUM,16.0,1,1.0,0.0,0,26.9,31.9,938.5,53.3,0,0.0
12.0,69.888,False,0.0,17.668,30.926,21.294,293.0,232.0,269.0,290.0,69.606,MEDIUM,17.0,1,1.0,0.0,0,26.9,31.5,938.6,53.2,2,0.3
13.0,69.747,False,0.0,17.688,30.975,21.084,294.0,232.0,271.0,290.0,69.606,MEDIUM,18.0,1,1.0,0.0,0,27.0,31.7,938.6,53.2,287,0.2
