LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,78.399,False,0.0,,38.016,17.233,296.0,249.0,295.0,214.0,78.399,MEDIUM,1.0,,1.0,0.0,0,22.8,61.9,927.0,52.1,164,0.5
2.0,74.68,False,0.0,19.302,38.122,17.256,297.0,246.0,296.0,280.0,74.68,MEDIUM,2.0,,1.0,0.0,0,23.0,62.5,926.9,51.8,178,0.4
3.0,74.471,False,0.0,19.09,38.134,17.247,301.0,250.0,298.0,285.0,74.471,MEDIUM,3.0,,1.0,0.0,0,23.1,61.6,927.0,51.7,193,0.8
4.0,74.713,False,0.0,19.121,38.283,17.309,,241.0,298.0,284.0,74.471,MEDIUM,4.0,,1.0,0.0,0,23.1,62.9,927.0,51.9,339,0.5
5.0,74.66,False,0.0,19.185,38.312,17.163,303.0,244.0,299.0,287.0,74.471,MEDIUM,5.0,,1.0,0.0,0,23.0,62.9,927.0,51.9,339,0.5
6.0,87.488,False,0.0,19.08,44.825,23.583,304.0,190.0,230.0,292.0,74.471,MEDIUM,6.0,,1.0,0.0,0,22.9,60.9,927.0,51.7,173,0.5
7.0,119.85,True,0.0,25.48,60.378,33.992,234.0,148.0,,251.0,74.471,MEDIUM,7.0,,1.0,0.0,0,22.8,61.2,927.0,51.8,163,0.3
8.0,133.61,True,0.0,40.453,59.91,33.247,152.0,174.0,,,74.471,MEDIUM,8.0,,1.0,0.0,0,22.8,61.5,927.2,51.9,160,0.6
9.0,149.633,False,0.0,43.666,65.357,40.61,102.0,110.0,206.0,,74.471,MEDIUM,9.0,,1.0,0.0,0,22.8,61.1,927.0,52.1,148,0.4
10.0,74.805,False,0.0,19.825,37.761,17.219,300.0,250.0,295.0,264.0,74.471,MEDIUM,10.0,1,1.0,0.0,0,22.7,60.2,926.9,52.3,239,0.4
11.0,74.577,False,0.0,19.251,38.055,17.271,296.0,247.0,297.0,281.0,74.471,MEDIUM,11.0,1,1.0,0.0,0,22.7,60.2,926.9,52.3,239,0.4
12.0,93.704,False,0.0,19.137,51.934,22.633,300.0,208.0,205.0,285.0,74.471,MEDIUM,12.0,1,1.0,0.0,0,22.6,60.2,926.9,51.2,93,0.3
13.0,100.04,False,0.0,26.398,50.898,22.744,233.0,215.0,198.0,171.0,74.471,MEDIUM,13.0,1,1.0,0.0,0,22.7,62.1,927.1,50.0,251,0.4
14.0,84.966,False,0.0,25.939,41.825,17.202,261.0,245.0,297.0,211.0,74.471,MEDIUM,14.0,1,1.0,0.0,0,22.6,62.3,927.0,50.0,135,0.5
15.0,74.364,False,0.0,19.183,38.045,17.136,296.0,248.0,298.0,288.0,74.364,MEDIUM,15.0,1,1.0,0.0,0,22.7,63.0,927.0,50.2,206,0.3
16.0,74.314,False,0.0,19.099,38.076,17.139,298.0,251.0,298.0,285.0,74.314,MEDIUM,16.0,1,1.0,0.0,0,22.7,62.4,927.0,50.4,137,0.3
17.0,74.324,False,0.0,19.105,38.022,17.197,296.0,254.0,300.0,286.0,74.314,MEDIUM,17.0,1,1.0,0.0,0,22.6,62.1,927.2,50.5,40,0.4
18.0,74.516,False,0.0,19.168,38.024,17.324,301.0,254.0,299.0,285.0,74.314,MEDIUM,18.0,1,1.0,0.0,0,22.7,62.7,927.0,50.2,181,0.5
19.0,74.468,False,0.0,19.04,38.153,17.275,304.0,252.0,300.0,296.0,74.314,MEDIUM,19.0,1,1.0,0.0,0,22.7,63.0,927.1,50.2,199,0.4
20.0,74.383,False,0.0,19.002,38.104,17.277,,255.0,299.0,297.0,74.314,MEDIUM,20.0,1,1.0,0.0,0,22.6,62.9,927.1,49.8,152,0.5
21.0,74.744,False,0.0,19.14,38.309,17.295,301.0,253.0,301.0,286.0,74.314,MEDIUM,21.0,1,1.0,0.0,0,22.6,63.0,927.1,49.6,151,0.3
22.0,74.58,False,0.0,19.11,38.174,17.296,305.0,256.0,301.0,291.0,74.314,MEDIUM,22.0,1,1.0,0.0,0,22.8,62.8,927.1,49.6,147,0.5
23.0,74.774,False,0.0,19.093,38.284,17.397,,253.0,303.0,292.0,74.314,MEDIUM,23.0,1,1.0,0.0,0,22.9,62.8,927.1,49.6,147,0.5
24.0,74.842,False,0.0,19.057,38.354,17.431,302.0,252.0,298.0,295.0,74.314,MEDIUM,24.0,1,1.0,0.0,0,22.8,62.2,927.1,49.1,173,0.4
25.0,75.061,False,0.0,19.181,38.466,17.414,,247.0,301.0,,74.314,MEDIUM,25.0,1,1.0,0.0,0,22.9,62.2,927.1,49.1,173,0.4
26.0,74.911,False,0.0,19.12,38.418,17.373,304.0,250.0,300.0,294.0,74.314,MEDIUM,26.0,1,1.0,0.0,0,23.0,61.0,927.0,49.2,169,0.5
27.0,78.696,True,22.468,19.195,38.493,21.008,,253.0,,,74.314,MEDIUM,27.0,1,1.0,0.0,0,23.0,61.0,927.0,49.2,169,0.5
28.0,90.413,False,0.0,35.975,37.471,16.967,298.0,250.0,300.0,,74.314,HARD,1.0,1,3.0,9.541,0,23.1,61.3,927.0,49.0,196,0.5
29.0,73.501,False,0.0,18.868,37.786,16.847,305.0,254.0,317.0,299.0,73.501,HARD,2.0,1,2.0,8.37,0,23.2,62.0,926.9,49.3,169,0.3
30.0,84.575,False,0.0,18.785,43.747,22.043,299.0,131.0,259.0,306.0,73.501,HARD,3.0,1,2.0,5.909,0,23.2,62.0,926.9,49.3,169,0.3
31.0,79.408,False,0.0,24.469,37.871,17.068,262.0,251.0,299.0,206.0,73.501,HARD,4.0,1,1.0,0.0,0,23.3,60.6,927.0,50.8,160,0.3
32.0,73.155,False,0.0,18.973,37.209,16.973,302.0,254.0,299.0,289.0,73.155,HARD,5.0,1,1.0,0.0,0,23.1,61.6,926.9,51.7,229,0.4
33.0,73.14,False,0.0,18.821,37.254,17.065,304.0,258.0,299.0,296.0,73.14,HARD,6.0,1,1.0,0.0,0,23.0,61.6,926.9,51.7,229,0.4
34.0,73.391,False,0.0,18.818,37.569,17.004,305.0,257.0,302.0,301.0,73.14,HARD,7.0,1,1.0,0.0,0,23.1,61.1,927.0,50.7,172,0.3
35.0,73.434,False,0.0,18.881,37.573,16.98,,255.0,301.0,300.0,73.14,HARD,8.0,1,1.0,0.0,0,23.1,60.3,926.9,51.2,148,0.3
36.0,73.578,False,0.0,18.993,37.565,17.02,,257.0,296.0,293.0,73.14,HARD,9.0,1,1.0,0.0,0,23.2,60.5,926.9,51.2,207,0.3
37.0,73.838,False,0.0,19.107,37.665,17.066,300.0,256.0,301.0,286.0,73.14,HARD,10.0,1,1.0,0.0,0,23.2,60.7,927.0,51.3,161,0.4
38.0,73.475,False,0.0,18.913,37.599,16.963,305.0,257.0,303.0,297.0,73.14,HARD,11.0,1,1.0,0.0,0,23.1,59.9,926.9,51.3,184,0.4
39.0,73.693,False,0.0,18.871,37.713,17.109,306.0,257.0,302.0,296.0,73.14,HARD,12.0,1,1.0,0.0,0,23.2,59.4,926.9,51.0,253,0.5
40.0,77.355,True,23.184,18.889,37.666,20.8,307.0,255.0,,297.0,73.14,HARD,13.0,1,2.0,2.661,0,23.2,59.5,927.0,51.0,185,0.7
41.0,89.979,False,0.0,36.411,36.779,16.789,304.0,256.0,303.0,,73.14,HARD,1.0,1,4.0,19.063,0,23.2,58.6,926.9,50.4,160,0.3
42.0,72.959,False,0.0,18.804,37.248,16.907,305.0,254.0,298.0,296.0,72.959,HARD,2.0,1,3.0,18.628,0,23.2,58.7,927.0,50.4,198,0.6
43.0,73.261,False,0.0,18.823,37.59,16.848,,251.0,304.0,293.0,72.959,HARD,3.0,1,2.0,14.475999999999999,0,23.1,59.2,927.0,50.7,196,0.6
44.0,72.963,False,0.0,18.777,37.442,16.744,308.0,253.0,317.0,299.0,72.959,HARD,4.0,1,1.0,0.0,0,22.9,60.1,926.9,49.6,207,0.6
45.0,72.977,False,0.0,18.837,37.297,16.843,305.0,256.0,302.0,312.0,72.959,HARD,5.0,1,1.0,0.0,0,22.9,61.4,926.7,49.3,184,0.5
