LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,96.68,False,0.0,,33.453,25.664,270.0,281.0,235.0,276.0,96.68,INTERMEDIATE,1.0,2,2.0,1.326,0,15.7,93.3,1006.4,18.4,79,0.8
2.0,94.575,False,0.0,35.487,33.234,25.854,265.0,283.0,234.0,274.0,94.575,INTERMEDIATE,2.0,2,2.0,1.542,0,15.8,94.4,1006.4,18.3,96,0.5
3.0,94.484,False,0.0,35.182,33.341,25.961,270.0,280.0,235.0,274.0,94.484,INTERMEDIATE,3.0,2,2.0,1.533,0,15.8,93.5,1006.4,18.5,124,0.7
4.0,94.787,False,0.0,35.324,33.492,25.971,269.0,283.0,234.0,271.0,94.484,INTERMEDIATE,4.0,2,2.0,1.666,0,15.8,93.7,1006.4,18.4,159,0.7
5.0,94.629,False,0.0,35.236,33.364,26.029,,280.0,233.0,272.0,94.484,INTERMEDIATE,5.0,2,2.0,1.579,0,15.8,94.3,1006.5,18.6,114,0.6
6.0,95.049,False,0.0,35.467,33.489,26.093,270.0,280.0,235.0,273.0,94.484,INTERMEDIATE,6.0,1,2.0,1.7770000000000001,0,15.8,94.2,1006.4,18.6,62,0.5
7.0,94.976,False,0.0,35.407,33.64,25.929,271.0,281.0,235.0,275.0,94.484,INTERMEDIATE,7.0,1,2.0,2.106,0,15.8,94.4,1006.4,18.5,170,0.3
8.0,94.764,False,0.0,35.327,33.467,25.97,,281.0,235.0,277.0,94.484,INTERMEDIATE,8.0,1,2.0,2.11,0,15.8,94.8,1006.5,18.5,108,0.2
9.0,94.662,False,0.0,35.297,33.397,25.968,269.0,284.0,234.0,275.0,94.484,INTERMEDIATE,9.0,1,2.0,2.401,0,15.8,94.1,1006.5,18.5,94,0.5
10.0,94.601,False,0.0,35.089,33.451,26.061,,282.0,235.0,272.0,94.484,INTERMEDIATE,10.0,1,2.0,2.44,0,15.9,94.5,1006.5,18.4,109,0.6
