LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,100.236,False,0.0,,42.325,24.389,230.0,254.0,274.0,250.0,100.236,SOFT,4.0,,2.0,1.166,0,23.9,26.0,1010.4,29.0,13,0.3
2.0,97.88,False,0.0,31.285,42.269,24.326,,252.0,276.0,296.0,97.88,SOFT,5.0,,2.0,1.193,0,23.8,26.0,1010.4,29.0,357,0.5
3.0,98.357,False,0.0,31.499,42.474,24.384,229.0,254.0,276.0,294.0,97.88,SOFT,6.0,,2.0,1.278,0,23.8,29.0,1010.2,28.8,13,0.4
4.0,98.566,False,0.0,31.342,42.674,24.55,231.0,250.0,276.0,297.0,97.88,SOFT,7.0,,2.0,1.43,0,23.8,31.0,1010.4,28.7,50,0.3
5.0,98.877,False,0.0,31.498,42.854,24.525,229.0,256.0,276.0,293.0,97.88,SOFT,8.0,,2.0,1.8359999999999999,0,23.8,33.0,1010.4,28.5,316,0.4
6.0,98.94,False,0.0,31.572,42.759,24.609,,255.0,275.0,288.0,97.88,SOFT,9.0,,2.0,2.064,0,23.6,34.0,1010.4,28.3,12,0.2
7.0,99.062,False,0.0,31.637,42.845,24.58,228.0,253.0,276.0,289.0,97.88,SOFT,10.0,,2.0,2.291,0,23.6,35.0,1010.4,28.3,354,0.3
8.0,99.092,False,0.0,31.616,42.875,24.601,229.0,253.0,276.0,290.0,97.88,SOFT,11.0,,2.0,2.432,0,23.5,35.0,1010.4,28.1,204,0.3
9.0,99.251,False,0.0,31.625,42.957,24.669,228.0,252.0,276.0,288.0,97.88,SOFT,12.0,,2.0,2.876,0,23.4,36.0,1010.4,28.0,26,0.2
10.0,99.392,False,0.0,31.736,43.051,24.605,,248.0,275.0,,97.88,SOFT,13.0,1,2.0,3.145,0,23.3,36.0,1010.4,28.0,357,0.1
11.0,99.479,False,0.0,31.749,43.09,24.64,227.0,251.0,276.0,289.0,97.88,SOFT,14.0,1,2.0,3.318,0,23.3,36.0,1010.4,28.0,36,0.2
12.0,99.41,False,0.0,31.701999999999998,43.076,24.632,229.0,249.0,276.0,294.0,97.88,SOFT,15.0,1,2.0,3.472,0,23.2,37.0,1010.4,27.9,309,0.2
13.0,99.534,False,0.0,31.809,43.082,24.643,228.0,251.0,275.0,290.0,97.88,SOFT,16.0,1,2.0,3.727,0,23.1,37.0,1010.4,27.8,242,0.2
