LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,,False,0.0,,55.474,31.348,339.0,173.0,209.0,293.0,,SOFT,1.0,,9.0,,0,21.8,39.0,971.0,36.9,147,1.1
2.0,139.517,False,0.0,32.009,64.504,43.004,321.0,143.0,163.0,313.0,139.517,SOFT,2.0,1,8.0,,0,21.9,40.0,971.2,37.0,334,1.7
3.0,,False,0.0,47.227,83.243,53.575,213.0,109.0,132.0,287.0,139.517,SOFT,3.0,1,8.0,,0,22.0,39.0,971.2,36.5,335,1.8
4.0,,False,0.0,48.681,78.407,49.372,149.0,85.0,214.0,278.0,139.517,SOFT,4.0,1,8.0,,0,22.0,40.0,971.0,36.7,169,1.1
5.0,113.951,False,0.0,32.124,51.49,30.337,321.0,187.0,209.0,313.0,113.951,SOFT,5.0,1,6.0,,0,21.9,40.0,971.0,36.9,0,1.1
6.0,113.748,False,0.0,32.15,51.344,30.254,323.0,183.0,211.0,311.0,113.748,SOFT,6.0,1,5.0,,0,21.9,40.0,971.2,36.4,327,1.7
7.0,111.954,False,0.0,31.671,49.935,30.348,339.0,188.0,211.0,312.0,111.954,SOFT,7.0,1,4.0,,0,21.9,41.0,971.0,36.1,354,0.8
8.0,112.641,False,0.0,31.665,50.392,30.584,342.0,187.0,208.0,310.0,111.954,SOFT,8.0,1,3.0,,0,22.1,39.0,971.0,36.9,242,1.2
9.0,113.532,False,0.0,32.256,50.63,30.646,320.0,186.0,209.0,308.0,111.954,SOFT,9.0,1,3.0,,0,22.2,39.0,971.0,36.9,322,2.5
10.0,113.969,False,0.0,32.284,50.975,30.71,,179.0,209.0,311.0,111.954,SOFT,10.0,1,3.0,,0,22.1,39.0,971.0,36.6,298,2.2
11.0,114.634,False,0.0,31.967,51.966,30.701,339.0,181.0,211.0,313.0,111.954,SOFT,11.0,1,2.0,,0,21.9,39.0,971.0,36.0,322,1.6
12.0,113.158,False,0.0,32.002,50.429,30.727,338.0,185.0,208.0,,111.954,SOFT,12.0,1,1.0,,0,21.9,40.0,971.2,34.9,301,1.8
13.0,113.728,False,0.0,32.375,50.545,30.808,316.0,184.0,208.0,309.0,111.954,SOFT,13.0,1,1.0,,0,22.0,39.0,971.0,35.3,325,1.1
14.0,113.898,False,0.0,32.403,50.608,30.887,314.0,181.0,208.0,,111.954,SOFT,14.0,1,1.0,,0,22.2,39.0,971.2,35.7,296,1.6
15.0,117.82,True,22.955,32.398,50.474,34.948,,182.0,,,111.954,SOFT,15.0,1,1.0,,0,22.2,39.0,971.0,35.9,295,0.8
16.0,125.124,False,0.0,46.178,48.816,30.13,313.0,196.0,214.0,308.0,111.954,MEDIUM,1.0,1,2.0,,0,22.1,39.0,971.0,36.0,85,0.8
17.0,110.747,False,0.0,31.876,48.828,30.043,320.0,188.0,214.0,311.0,110.747,MEDIUM,2.0,1,2.0,,0,22.4,39.0,971.0,35.3,179,1.3
18.0,111.048,False,0.0,31.597,49.219,30.232,340.0,191.0,211.0,313.0,110.747,MEDIUM,3.0,1,1.0,,0,22.1,40.0,970.9,36.2,139,1.6
19.0,111.913,False,0.0,32.163,49.387,30.363,314.0,191.0,211.0,307.0,110.747,MEDIUM,4.0,1,1.0,,0,22.3,37.0,970.7,36.7,109,1.2
20.0,112.208,False,0.0,32.156,49.617,30.435,316.0,186.0,210.0,308.0,110.747,MEDIUM,5.0,1,1.0,,0,22.4,38.0,970.9,36.7,213,0.6
21.0,112.175,False,0.0,32.197,49.551,30.427,314.0,189.0,211.0,,110.747,MEDIUM,6.0,1,1.0,,0,22.4,36.0,970.9,36.8,183,0.8
22.0,112.382,False,0.0,32.258,49.647,30.477,316.0,189.0,211.0,307.0,110.747,MEDIUM,7.0,1,1.0,,0,22.4,37.0,970.9,36.8,240,1.3
23.0,112.273,False,0.0,32.25,49.641,30.382,314.0,187.0,211.0,309.0,110.747,MEDIUM,8.0,1,1.0,,0,22.2,38.0,970.9,36.8,305,1.2
24.0,112.467,False,0.0,32.197,49.849,30.421,317.0,184.0,210.0,310.0,110.747,MEDIUM,9.0,1,1.0,,0,22.1,39.0,970.9,36.8,300,1.5
25.0,112.555,False,0.0,32.154,49.856,30.545,319.0,188.0,211.0,312.0,110.747,MEDIUM,10.0,1,1.0,,0,22.2,38.0,970.9,36.9,277,1.3
26.0,112.526,False,0.0,32.13,49.803,30.593,,187.0,211.0,310.0,110.747,MEDIUM,11.0,1,1.0,,0,22.1,39.0,970.9,36.6,201,1.7
27.0,112.869,False,0.0,32.261,50.079,30.529,318.0,189.0,211.0,309.0,110.747,MEDIUM,12.0,1,1.0,,0,22.2,40.0,970.9,36.5,167,0.6
28.0,112.71,False,0.0,32.101,50.024,30.585,320.0,187.0,210.0,310.0,110.747,MEDIUM,13.0,1,1.0,,0,22.4,38.0,970.9,37.2,348,0.6
29.0,112.762,False,0.0,32.189,49.96,30.613,321.0,183.0,212.0,311.0,110.747,MEDIUM,14.0,1,1.0,,0,22.4,38.0,970.9,37.2,342,1.7
30.0,117.131,True,22.349,32.104,50.167,34.86,,180.0,,313.0,110.747,MEDIUM,15.0,1,1.0,,0,22.1,40.0,970.7,36.4,277,1.7
31.0,123.664,False,0.0,45.614,48.045,30.005,314.0,199.0,217.0,309.0,110.747,MEDIUM,1.0,1,1.0,,0,21.9,40.0,971.0,36.3,304,2.9
32.0,109.354,False,0.0,31.68,47.81,29.864,317.0,197.0,215.0,310.0,109.354,MEDIUM,2.0,1,1.0,,0,21.9,40.0,970.9,36.4,276,2.5
33.0,111.144,False,0.0,31.87,49.122,30.152,315.0,192.0,214.0,313.0,109.354,MEDIUM,3.0,2,1.0,,0,22.0,40.0,970.9,36.5,316,1.8
34.0,111.034,False,0.0,31.831,49.139,30.064,319.0,194.0,214.0,312.0,109.354,MEDIUM,4.0,1,1.0,,0,22.2,41.0,970.9,36.5,155,1.1
35.0,111.469,False,0.0,32.051,49.129,30.289,321.0,192.0,215.0,303.0,109.354,MEDIUM,5.0,4,1.0,,0,22.4,40.0,970.7,36.4,324,0.8
36.0,111.551,False,0.0,32.022,49.168,30.361,,188.0,212.0,304.0,109.354,MEDIUM,6.0,4,1.0,,0,22.4,41.0,970.7,36.5,328,2.5
37.0,111.587,False,0.0,32.092,49.044,30.451,320.0,190.0,211.0,,109.354,MEDIUM,7.0,4,1.0,,0,22.5,40.0,970.7,36.6,314,1.2
38.0,111.513,False,0.0,32.082,49.215,30.216,321.0,190.0,212.0,305.0,109.354,MEDIUM,8.0,4,1.0,,0,22.3,40.0,970.9,36.6,326,1.7
39.0,112.26,False,0.0,32.102,49.548,30.61,317.0,190.0,213.0,302.0,109.354,MEDIUM,9.0,1,1.0,,0,22.4,40.0,970.9,36.4,349,1.0
40.0,111.889,False,0.0,31.976,49.36,30.553,315.0,189.0,213.0,306.0,109.354,MEDIUM,10.0,1,1.0,,0,22.3,42.0,970.7,36.5,268,1.7
41.0,112.165,False,0.0,32.05,49.487,30.628,,188.0,212.0,304.0,109.354,MEDIUM,11.0,1,1.0,,0,22.4,41.0,970.9,36.6,328,1.3
42.0,112.157,False,0.0,32.149,49.406,30.602,319.0,188.0,213.0,303.0,109.354,MEDIUM,12.0,1,1.0,,0,22.1,41.0,970.9,35.5,48,1.7
43.0,112.731,False,0.0,32.179,49.988,30.564,315.0,190.0,213.0,,109.354,MEDIUM,13.0,1,1.0,,0,22.0,40.0,970.9,34.7,176,1.1
44.0,113.149,False,0.0,32.047,49.868,31.234,321.0,189.0,187.0,304.0,109.354,MEDIUM,14.0,1,1.0,,0,21.9,41.0,970.9,34.0,267,1.0
