LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,83.396,False,0.0,,25.32,31.346,243.0,269.0,276.0,306.0,83.396,MEDIUM,1.0,2,1.0,0.0,0,20.2,29.0,1012.5,41.7,355,3.5
2.0,78.96,False,0.0,22.137,25.309,31.514,244.0,271.0,278.0,306.0,78.96,MEDIUM,2.0,2,1.0,0.0,0,20.5,28.0,1012.5,41.8,2,4.3
3.0,78.818,False,0.0,22.112,25.39,31.316,239.0,271.0,277.0,307.0,78.818,MEDIUM,3.0,2,1.0,0.0,0,20.5,27.0,1012.4,42.0,15,4.1
4.0,78.393,False,0.0,21.98,25.135,31.278,240.0,272.0,277.0,307.0,78.393,MEDIUM,4.0,2,1.0,0.0,0,20.6,28.0,1012.5,41.8,5,4.3
5.0,78.293,False,0.0,21.83,25.2,31.263,,272.0,278.0,304.0,78.293,MEDIUM,5.0,2,1.0,0.0,0,20.6,29.0,1012.5,41.2,352,3.5
6.0,78.275,False,0.0,22.04,25.039,31.196,,272.0,278.0,306.0,78.275,MEDIUM,6.0,1,1.0,0.0,0,20.6,28.0,1012.5,41.3,352,4.5
7.0,77.828,False,0.0,21.671,24.985,31.172,,271.0,277.0,309.0,77.828,MEDIUM,7.0,1,1.0,0.0,0,20.7,28.0,1012.5,41.2,344,4.6
8.0,77.757,False,0.0,21.774,24.91,31.073,241.0,272.0,280.0,309.0,77.757,MEDIUM,8.0,1,1.0,0.0,0,20.6,28.0,1012.5,41.2,358,2.7
9.0,112.842,True,24.244,21.826999999999998,34.68,56.335,,204.0,,186.0,77.757,MEDIUM,9.0,1,3.0,7.741,0,20.7,30.0,1012.2,41.6,12,4.9
10.0,104.647,False,0.0,30.729,34.611,39.307,172.0,247.0,276.0,273.0,77.757,HARD,1.0,1,3.0,6.407,0,20.9,30.0,1012.4,41.5,1,4.1
11.0,77.808,False,0.0,21.891,24.889,31.028,242.0,273.0,279.0,310.0,77.757,HARD,2.0,1,3.0,6.561,0,20.9,31.0,1012.2,41.5,9,4.1
12.0,77.37,False,0.0,21.634,24.808,30.928,,272.0,280.0,309.0,77.37,HARD,3.0,1,3.0,6.451,0,20.9,30.0,1012.2,41.7,359,3.7
13.0,77.518,False,0.0,21.687,24.807,31.024,,270.0,279.0,310.0,77.37,HARD,4.0,1,3.0,6.294,0,21.0,30.0,1012.2,41.7,359,3.7
14.0,77.791,False,0.0,21.675,24.826999999999998,31.289,251.0,275.0,280.0,309.0,77.37,HARD,5.0,1,3.0,5.724,0,21.2,30.0,1012.2,41.7,7,4.1
15.0,78.076,False,0.0,22.033,25.36,30.683,,277.0,288.0,328.0,77.37,HARD,6.0,1,2.0,5.727,0,21.2,30.0,1012.5,41.6,23,2.0
16.0,77.457,False,0.0,21.595,24.767,31.095,241.0,276.0,279.0,307.0,77.37,HARD,7.0,1,2.0,5.42,0,21.3,30.0,1012.4,41.6,358,2.2
17.0,77.356,False,0.0,21.517,24.809,31.03,240.0,274.0,279.0,308.0,77.356,HARD,8.0,1,2.0,5.07,0,21.4,31.0,1012.4,41.6,336,2.5
18.0,77.45,False,0.0,21.607,24.771,31.072,241.0,275.0,278.0,309.0,77.356,HARD,9.0,1,2.0,4.6690000000000005,0,21.4,30.0,1012.2,41.9,10,2.4
19.0,77.458,False,0.0,21.646,24.785,31.027,242.0,275.0,279.0,309.0,77.356,HARD,10.0,1,2.0,4.362,0,21.3,28.0,1012.2,42.1,10,3.2
20.0,106.72,False,0.0,28.18,35.377,43.163,159.0,175.0,191.0,190.0,77.356,HARD,11.0,1,1.0,0.0,0,21.3,31.0,1012.4,42.2,327,2.5
21.0,79.307,False,0.0,23.203,24.993,31.111,246.0,270.0,279.0,308.0,77.356,HARD,12.0,1,1.0,0.0,0,21.3,27.0,1012.4,42.1,3,4.3
22.0,77.592,False,0.0,21.766,24.813,31.013,249.0,274.0,281.0,309.0,77.356,HARD,13.0,1,1.0,0.0,0,21.2,26.0,1012.5,42.2,353,4.8
23.0,77.634,False,0.0,21.777,24.859,30.998,240.0,274.0,281.0,307.0,77.356,HARD,14.0,1,1.0,0.0,0,21.0,27.0,1012.4,42.1,353,5.5
24.0,77.581,False,0.0,21.684,24.863,31.034,242.0,275.0,280.0,307.0,77.356,HARD,15.0,1,1.0,0.0,0,21.0,27.0,1012.2,41.7,14,5.6
25.0,77.676,False,0.0,21.828,24.687,31.161,,275.0,279.0,307.0,77.356,HARD,16.0,1,1.0,0.0,0,21.1,27.0,1012.4,41.8,354,4.5
26.0,77.418,False,0.0,21.646,24.708,31.064,244.0,275.0,281.0,309.0,77.356,HARD,17.0,1,1.0,0.0,0,21.1,27.0,1012.4,41.8,1,4.0
27.0,77.528,False,0.0,21.734,24.73,31.064,243.0,277.0,282.0,310.0,77.356,HARD,18.0,1,1.0,0.0,0,21.4,27.0,1012.4,41.7,359,3.7
28.0,77.43,False,0.0,21.767,24.699,30.964,241.0,278.0,282.0,307.0,77.356,HARD,19.0,1,1.0,0.0,0,21.4,26.0,1012.2,41.9,7,4.4
29.0,77.426,False,0.0,21.586,24.906,30.934,245.0,276.0,280.0,312.0,77.356,HARD,20.0,1,1.0,0.0,0,21.2,27.0,1012.2,41.9,15,4.5
30.0,77.541,False,0.0,21.783,24.741,31.017,,276.0,281.0,313.0,77.356,HARD,21.0,1,1.0,0.0,0,21.1,27.0,1012.2,41.9,16,4.4
31.0,77.458,False,0.0,21.808,24.993,30.657,,276.0,291.0,329.0,77.356,HARD,22.0,1,1.0,0.0,0,21.2,27.0,1012.2,42.0,8,4.0
32.0,77.866,False,0.0,21.962,24.842,31.062,243.0,277.0,281.0,310.0,77.356,HARD,23.0,1,1.0,0.0,0,21.2,28.0,1012.0,41.9,12,4.0
33.0,77.724,False,0.0,21.924,24.805,30.995,,276.0,283.0,309.0,77.356,HARD,24.0,1,1.0,0.0,0,21.3,30.0,1012.0,41.9,18,4.5
34.0,77.595,False,0.0,21.715,24.832,31.048,245.0,278.0,282.0,308.0,77.356,HARD,25.0,1,1.0,0.0,0,21.5,28.0,1012.2,41.9,15,4.5
35.0,77.634,False,0.0,21.823,24.791,31.02,,279.0,283.0,309.0,77.356,HARD,26.0,1,1.0,0.0,0,21.6,28.0,1012.2,41.8,7,3.9
