LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,111.307,False,0.0,,31.809,46.739,196.0,243.0,195.0,100.0,111.307,INTERMEDIATE,1.0,1,1.0,0.0,0,12.9,79.0,1001.0,17.9,7,1.7
2.0,145.995,False,0.0,54.085,47.41,44.5,171.0,145.0,194.0,133.0,111.307,INTERMEDIATE,2.0,1,1.0,0.0,0,13.0,79.0,1001.0,17.8,331,0.4
3.0,136.5,False,0.0,45.833,46.168,44.499,,160.0,199.0,164.0,111.307,INTERMEDIATE,3.0,1,1.0,0.0,0,13.1,78.0,1000.9,17.7,6,0.8
4.0,147.427,False,0.0,42.546,48.335,56.546,176.0,90.0,264.0,101.0,111.307,INTERMEDIATE,4.0,1,1.0,0.0,0,13.1,78.0,1000.9,17.5,351,0.8
5.0,91.45,False,0.0,29.619,30.801,31.03,198.0,246.0,265.0,273.0,91.45,INTERMEDIATE,5.0,1,1.0,0.0,0,13.1,78.0,1000.9,17.5,294,1.2
6.0,90.444,False,0.0,28.916,30.794,30.734,202.0,245.0,264.0,259.0,90.444,INTERMEDIATE,6.0,1,1.0,0.0,0,13.1,78.0,1000.7,17.3,35,1.2
7.0,90.119,False,0.0,28.78,30.578,30.761,203.0,245.0,265.0,274.0,90.119,INTERMEDIATE,7.0,1,1.0,0.0,0,13.1,77.0,1000.7,17.1,69,2.0
8.0,90.177,False,0.0,28.711,30.861,30.605,,245.0,266.0,274.0,90.119,INTERMEDIATE,8.0,1,1.0,0.0,0,13.1,76.0,1000.7,17.1,50,0.8
9.0,89.917,False,0.0,28.558,30.752,30.607,204.0,246.0,266.0,279.0,89.917,INTERMEDIATE,9.0,1,1.0,0.0,0,13.0,75.0,1000.7,17.1,46,0.8
10.0,90.351,False,0.0,28.502,30.986,30.863,205.0,245.0,264.0,278.0,89.917,INTERMEDIATE,10.0,1,1.0,0.0,0,13.1,75.0,1000.7,17.0,63,1.7
