LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,85.253,False,0.0,,32.168,21.194,282.0,276.0,243.0,309.0,85.253,SOFT,4.0,,1.0,0.0,0,25.5,34.0,780.5,47.8,289,2.5
2.0,83.247,False,0.0,29.506,32.501,21.24,277.0,278.0,243.0,323.0,83.247,SOFT,5.0,2,1.0,0.0,0,25.3,34.0,780.5,47.7,259,1.7
3.0,83.079,False,0.0,29.441,32.347,21.291,274.0,276.0,243.0,,83.079,SOFT,6.0,2,1.0,0.0,0,25.2,34.0,780.4,47.2,273,1.8
4.0,83.566,False,0.0,29.61,32.502,21.454,277.0,275.0,243.0,324.0,83.079,SOFT,7.0,2,1.0,0.0,0,25.0,34.0,780.5,47.1,339,2.2
5.0,83.226,False,0.0,29.522,32.386,21.318,281.0,277.0,243.0,,83.079,SOFT,8.0,2,1.0,0.0,0,24.9,34.0,780.4,47.0,300,0.8
6.0,83.294,False,0.0,29.673000000000002,32.209,21.412,280.0,276.0,242.0,316.0,83.079,SOFT,9.0,1,1.0,0.0,0,24.8,34.0,780.4,45.6,248,1.3
7.0,83.115,False,0.0,29.521,32.183,21.411,281.0,276.0,242.0,323.0,83.079,SOFT,10.0,1,1.0,0.0,0,24.7,34.0,780.5,44.1,274,1.3
8.0,83.292,False,0.0,29.576999999999998,32.221,21.494,,276.0,242.0,321.0,83.079,SOFT,11.0,1,1.0,0.0,0,24.4,35.0,780.5,42.8,264,1.1
9.0,83.246,False,0.0,29.558,32.243,21.445,,275.0,242.0,322.0,83.079,SOFT,12.0,1,1.0,0.0,0,24.3,35.0,780.5,42.6,313,0.6
10.0,83.257,False,0.0,29.483,32.321,21.453,280.0,276.0,242.0,323.0,83.079,SOFT,13.0,1,1.0,0.0,0,24.2,34.0,780.4,42.6,174,1.1
11.0,83.164,False,0.0,29.547,32.138,21.479,278.0,277.0,243.0,,83.079,SOFT,14.0,1,1.0,0.0,0,24.4,34.0,780.4,42.1,68,1.7
12.0,83.076,False,0.0,29.488,32.113,21.475,280.0,278.0,243.0,321.0,83.076,SOFT,15.0,1,1.0,0.0,0,24.4,33.0,780.4,42.1,125,1.7
13.0,83.109,False,0.0,29.517,32.163,21.429,,278.0,243.0,322.0,83.076,SOFT,16.0,1,1.0,0.0,0,24.2,34.0,780.2,40.8,276,1.1
14.0,83.056,False,0.0,29.453,32.166,21.437,279.0,278.0,243.0,323.0,83.056,SOFT,17.0,1,1.0,0.0,0,24.2,34.0,780.2,40.8,253,1.1
15.0,82.971,False,0.0,29.447,32.05,21.474,281.0,278.0,243.0,324.0,82.971,SOFT,18.0,1,1.0,0.0,0,24.2,33.0,780.2,40.4,269,1.5
16.0,83.076,False,0.0,29.449,32.115,21.512,285.0,278.0,242.0,323.0,82.971,SOFT,19.0,1,1.0,0.0,0,24.2,33.0,780.2,40.2,276,1.7
17.0,83.161,False,0.0,29.448,32.161,21.552,,279.0,243.0,,82.971,SOFT,20.0,1,1.0,0.0,0,24.1,33.0,780.2,40.0,284,1.5
18.0,83.288,False,0.0,29.496,32.16,21.632,281.0,278.0,243.0,324.0,82.971,SOFT,21.0,1,1.0,0.0,0,24.0,34.0,780.2,39.8,22,1.2
19.0,83.432,False,0.0,29.391,32.36,21.681,280.0,278.0,243.0,323.0,82.971,SOFT,22.0,1,1.0,0.0,0,24.2,33.0,780.2,39.8,259,0.8
20.0,83.674,False,0.0,29.501,32.388,21.785,282.0,278.0,243.0,324.0,82.971,SOFT,23.0,1,1.0,0.0,0,24.2,33.0,780.2,39.6,279,1.0
21.0,83.295,False,0.0,29.364,32.353,21.578,283.0,277.0,243.0,325.0,82.971,SOFT,24.0,1,1.0,0.0,0,24.2,33.0,780.2,39.5,236,0.8
22.0,83.597,False,0.0,29.37,32.488,21.739,284.0,276.0,244.0,,82.971,SOFT,25.0,1,1.0,0.0,0,24.3,33.0,780.0,39.5,264,0.8
23.0,83.655,False,0.0,29.424,32.507,21.724,283.0,276.0,243.0,324.0,82.971,SOFT,26.0,1,1.0,0.0,0,24.3,33.0,780.2,39.6,253,1.0
24.0,83.861,False,0.0,29.435,32.581,21.845,285.0,277.0,243.0,325.0,82.971,SOFT,27.0,1,1.0,0.0,0,24.5,32.0,780.0,39.8,284,1.6
25.0,86.845,True,22.484,29.436,32.641,24.768,284.0,277.0,,326.0,82.971,SOFT,28.0,1,2.0,1.52,0,24.6,32.0,780.0,39.8,275,1.7
26.0,101.339,False,0.0,48.237,31.908,21.194,285.0,279.0,245.0,305.0,82.971,MEDIUM,1.0,1,3.0,19.552,0,24.6,33.0,780.0,39.4,0,0.8
27.0,82.494,False,0.0,29.26,31.947,21.287,280.0,279.0,245.0,324.0,82.494,MEDIUM,2.0,1,3.0,18.7,0,24.6,33.0,780.0,39.4,0,0.8
28.0,82.54,False,0.0,29.203,31.971,21.366,,278.0,244.0,326.0,82.494,MEDIUM,3.0,1,3.0,17.979,0,24.6,33.0,780.0,39.4,0,0.8
29.0,82.472,False,0.0,29.125,32.212,21.135,283.0,284.0,245.0,329.0,82.472,MEDIUM,4.0,1,3.0,14.204,0,24.7,33.0,780.0,39.1,251,1.5
30.0,82.289,False,0.0,29.158,31.918,21.213,284.0,280.0,245.0,326.0,82.289,MEDIUM,5.0,1,2.0,11.62,0,24.5,33.0,780.0,38.9,246,1.6
31.0,82.365,False,0.0,29.12,31.93,21.315,286.0,280.0,245.0,327.0,82.289,MEDIUM,6.0,1,2.0,10.929,0,24.4,34.0,780.0,38.8,290,1.2
32.0,82.166,False,0.0,29.107,31.822,21.237,,281.0,245.0,328.0,82.166,MEDIUM,7.0,1,2.0,9.82,0,24.4,34.0,780.0,38.7,264,0.8
33.0,82.316,False,0.0,29.127,32.045,21.144,283.0,287.0,245.0,329.0,82.166,MEDIUM,8.0,1,2.0,8.867,0,24.4,34.0,780.0,38.4,313,1.5
34.0,82.188,False,0.0,29.147,31.806,21.235,287.0,281.0,245.0,325.0,82.166,MEDIUM,9.0,1,2.0,4.292,0,24.3,34.0,780.0,38.4,282,1.1
35.0,82.054,False,0.0,29.132,31.757,21.165,288.0,282.0,246.0,,82.054,MEDIUM,10.0,1,1.0,0.0,0,24.3,34.0,780.0,38.5,332,1.7
36.0,82.046,False,0.0,29.174,31.718,21.154,,281.0,245.0,,82.046,MEDIUM,11.0,1,1.0,0.0,0,24.5,33.0,780.0,38.5,194,1.6
37.0,82.329,False,0.0,29.085,32.147,21.097,287.0,288.0,246.0,330.0,82.046,MEDIUM,12.0,1,1.0,0.0,0,24.5,33.0,780.0,38.5,132,0.8
38.0,82.685,False,0.0,29.16,31.925,21.6,291.0,282.0,245.0,328.0,82.046,MEDIUM,13.0,1,1.0,0.0,0,24.6,33.0,780.0,38.5,108,1.5
39.0,82.382,False,0.0,29.194,31.883,21.305,290.0,282.0,244.0,,82.046,MEDIUM,14.0,1,1.0,0.0,0,24.6,33.0,779.9,38.6,93,1.1
40.0,82.466,False,0.0,29.194,31.792,21.48,,281.0,245.0,326.0,82.046,MEDIUM,15.0,1,1.0,0.0,0,24.6,33.0,779.9,38.4,79,2.0
41.0,82.436,False,0.0,29.241,31.82,21.375,287.0,280.0,245.0,327.0,82.046,MEDIUM,16.0,1,1.0,0.0,0,24.3,33.0,779.7,38.1,0,0.6
42.0,82.465,False,0.0,29.175,31.935,21.355,285.0,281.0,246.0,328.0,82.046,MEDIUM,17.0,1,1.0,0.0,0,24.3,33.0,779.7,38.1,270,0.0
43.0,82.405,False,0.0,29.222,31.856,21.327,289.0,282.0,246.0,327.0,82.046,MEDIUM,18.0,1,1.0,0.0,0,24.4,33.0,779.7,38.0,313,1.2
44.0,82.285,False,0.0,29.19,31.83,21.265,,283.0,246.0,330.0,82.046,MEDIUM,19.0,1,1.0,0.0,0,24.5,33.0,779.9,38.2,271,0.8
45.0,82.426,False,0.0,29.148,32.071,21.207,290.0,291.0,246.0,332.0,82.046,MEDIUM,20.0,1,1.0,0.0,0,24.5,33.0,779.7,38.0,262,2.5
46.0,82.568,False,0.0,29.026,32.043,21.499,,283.0,245.0,330.0,82.046,MEDIUM,21.0,1,1.0,0.0,0,24.4,32.0,779.9,38.0,257,2.7
47.0,82.468,False,0.0,29.131,31.962,21.375,284.0,282.0,246.0,335.0,82.046,MEDIUM,22.0,1,1.0,0.0,0,24.3,31.0,779.7,37.9,272,1.7
48.0,82.733,False,0.0,29.128,32.25,21.355,290.0,282.0,246.0,331.0,82.046,MEDIUM,23.0,1,1.0,0.0,0,24.5,31.0,779.7,37.9,302,1.8
49.0,82.544,False,0.0,29.099,32.137,21.308,289.0,282.0,246.0,333.0,82.046,MEDIUM,24.0,1,1.0,0.0,0,24.5,31.0,779.7,38.0,298,2.0
50.0,82.576,False,0.0,29.028,32.17,21.378,,283.0,246.0,331.0,82.046,MEDIUM,25.0,1,1.0,0.0,0,24.5,31.0,779.7,37.9,274,1.6
51.0,82.308,False,0.0,29.162,31.831,21.315,286.0,282.0,245.0,328.0,82.046,MEDIUM,26.0,1,1.0,0.0,0,24.5,31.0,779.7,37.9,235,0.8
52.0,82.497,False,0.0,29.2,31.908,21.389,,281.0,246.0,,82.046,MEDIUM,27.0,1,1.0,0.0,0,24.4,31.0,779.7,37.7,265,0.8
53.0,82.502,False,0.0,29.195,31.928,21.379,287.0,282.0,246.0,,82.046,MEDIUM,28.0,1,1.0,0.0,0,24.4,31.0,779.7,37.8,256,1.0
54.0,82.515,False,0.0,29.138,32.01,21.367,292.0,280.0,247.0,,82.046,MEDIUM,29.0,1,1.0,0.0,0,24.4,31.0,779.7,37.8,203,0.8
55.0,82.786,False,0.0,29.298,32.078,21.41,288.0,282.0,247.0,,82.046,MEDIUM,30.0,1,1.0,0.0,0,24.3,31.0,779.7,37.8,0,1.2
56.0,82.105,False,0.0,29.09,31.846,21.169,289.0,283.0,248.0,327.0,82.046,MEDIUM,31.0,1,1.0,0.0,0,24.4,32.0,779.7,37.6,264,0.6
57.0,82.425,False,0.0,29.286,31.83,21.309,292.0,282.0,248.0,,82.046,MEDIUM,32.0,1,1.0,0.0,0,24.3,31.0,779.7,37.3,269,1.8
58.0,82.313,False,0.0,29.149,31.912,21.252,291.0,282.0,248.0,326.0,82.046,MEDIUM,33.0,1,1.0,0.0,0,24.3,32.0,779.7,37.2,277,0.8
59.0,82.428,False,0.0,29.196,31.925,21.307,,281.0,247.0,320.0,82.046,MEDIUM,34.0,1,1.0,0.0,0,24.4,32.0,779.7,37.2,269,0.6
60.0,82.698,False,0.0,29.215,32.068,21.415,,280.0,247.0,325.0,82.046,MEDIUM,35.0,1,1.0,0.0,0,24.3,32.0,779.7,37.2,267,1.5
61.0,82.4,False,0.0,29.152,31.93,21.318,294.0,282.0,247.0,326.0,82.046,MEDIUM,36.0,1,1.0,0.0,0,24.3,32.0,779.7,37.1,306,0.6
62.0,82.51,False,0.0,29.131,31.963,21.416,,282.0,247.0,327.0,82.046,MEDIUM,37.0,1,1.0,0.0,0,24.4,32.0,779.7,37.0,306,1.2
63.0,82.72,False,0.0,29.213,32.102,21.405,293.0,282.0,247.0,328.0,82.046,MEDIUM,38.0,1,1.0,0.0,0,24.4,32.0,779.7,37.0,297,1.3
64.0,82.476,False,0.0,29.135,31.9,21.441,295.0,283.0,245.0,,82.046,MEDIUM,39.0,1,1.0,0.0,0,24.4,32.0,779.7,37.0,249,1.0
65.0,89.023,False,0.0,29.239,31.999,27.785,296.0,284.0,139.0,327.0,82.046,MEDIUM,40.0,1,1.0,0.0,0,24.6,32.0,779.7,37.3,213,1.1
66.0,92.908,False,0.0,38.392,33.05,21.466,236.0,284.0,249.0,199.0,82.046,MEDIUM,41.0,1,1.0,0.0,0,24.7,32.0,779.7,37.2,223,0.6
67.0,82.302,False,0.0,29.13,31.836,21.336,296.0,283.0,249.0,327.0,82.046,MEDIUM,42.0,1,1.0,0.0,0,24.8,32.0,779.7,37.2,178,0.5
68.0,82.549,False,0.0,29.16,32.022,21.367,294.0,283.0,249.0,328.0,82.046,MEDIUM,43.0,1,1.0,0.0,0,24.7,32.0,779.7,37.2,0,1.2
69.0,82.794,False,0.0,29.158,32.226,21.41,293.0,282.0,249.0,,82.046,MEDIUM,44.0,1,1.0,0.0,0,24.7,32.0,779.7,37.3,315,0.4
70.0,82.681,False,0.0,29.141,32.154,21.386,296.0,282.0,248.0,,82.046,MEDIUM,45.0,1,1.0,0.0,0,24.8,31.0,779.5,37.4,313,1.0
71.0,82.917,False,0.0,29.249,32.121,21.547,289.0,283.0,238.0,,82.046,MEDIUM,46.0,1,1.0,0.0,0,24.8,31.0,779.5,37.8,0,0.6
