LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,156.498,False,0.0,,64.033,32.861,107.0,123.0,149.0,197.0,156.498,INTERMEDIATE,1.0,1,4.0,4.569,0,21.1,85.0,1003.0,28.8,348,0.6
2.0,142.614,False,0.0,35.053,65.095,42.466,74.0,114.0,220.0,175.0,142.614,INTERMEDIATE,2.0,1,4.0,2.204,0,21.3,82.0,1003.0,29.1,139,3.2
3.0,105.603,False,0.0,28.867,48.671,28.065,128.0,128.0,230.0,231.0,105.603,INTERMEDIATE,3.0,1,4.0,4.589,0,21.3,83.0,1003.0,28.6,6,1.2
4.0,101.426,False,0.0,27.463,46.871,27.092,139.0,131.0,233.0,244.0,101.426,INTERMEDIATE,4.0,1,4.0,4.13,0,21.4,83.0,1003.0,28.6,103,0.8
5.0,100.918,False,0.0,27.345,46.573,27.0,137.0,135.0,239.0,249.0,100.918,INTERMEDIATE,5.0,1,4.0,5.369,0,21.6,83.0,1003.0,28.5,127,0.6
6.0,98.151,False,0.0,26.371,45.57,26.21,148.0,143.0,242.0,254.0,98.151,INTERMEDIATE,6.0,1,4.0,5.474,0,21.5,82.0,1003.0,28.4,298,0.6
7.0,98.028,False,0.0,26.098,45.609,26.321,145.0,134.0,241.0,258.0,98.028,INTERMEDIATE,7.0,1,4.0,6.321,0,21.7,82.0,1003.0,28.5,27,0.8
8.0,97.715,False,0.0,25.906,45.622,26.187,151.0,137.0,242.0,257.0,97.715,INTERMEDIATE,8.0,1,4.0,6.61,0,21.8,81.0,1003.0,28.2,278,1.2
9.0,96.951,False,0.0,25.43,45.147,26.374,162.0,127.0,242.0,257.0,96.951,INTERMEDIATE,9.0,1,4.0,6.973,0,21.6,81.0,1003.0,28.1,202,0.6
10.0,96.834,False,0.0,25.576999999999998,45.204,26.053,153.0,135.0,243.0,256.0,96.834,INTERMEDIATE,10.0,1,4.0,7.508,0,21.9,80.0,1003.2,28.3,183,0.8
11.0,95.808,False,0.0,25.319,44.492,25.997,162.0,134.0,242.0,258.0,95.808,INTERMEDIATE,11.0,1,4.0,7.993,0,21.9,80.0,1003.2,27.9,357,1.1
12.0,95.414,False,0.0,25.364,44.093,25.957,,131.0,244.0,259.0,95.414,INTERMEDIATE,12.0,1,4.0,8.33,0,21.9,78.0,1003.2,27.3,254,0.5
13.0,94.257,False,0.0,24.759,43.724,25.774,156.0,133.0,245.0,258.0,94.257,INTERMEDIATE,13.0,1,4.0,8.922,0,22.0,79.0,1003.2,27.1,28,0.6
14.0,94.031,False,0.0,24.639,43.352,26.04,162.0,137.0,243.0,258.0,94.031,INTERMEDIATE,14.0,1,4.0,9.639,0,21.9,78.0,1003.2,27.0,346,0.6
15.0,92.702,False,0.0,24.337,42.682,25.683,166.0,145.0,244.0,258.0,92.702,INTERMEDIATE,15.0,1,4.0,10.243,0,21.9,78.0,1003.2,27.2,214,1.1
16.0,92.113,False,0.0,24.122,42.338,25.653,163.0,147.0,245.0,270.0,92.113,INTERMEDIATE,16.0,1,3.0,10.223,0,21.9,78.0,1003.2,27.0,214,1.0
17.0,91.38,False,0.0,24.014,41.932,25.434,167.0,151.0,247.0,270.0,91.38,INTERMEDIATE,17.0,1,3.0,10.113,0,22.1,76.0,1003.2,26.9,0,0.8
18.0,109.118,True,26.772,23.804,41.666,43.648,168.0,153.0,,271.0,91.38,INTERMEDIATE,18.0,1,4.0,20.961,0,22.0,77.0,1003.2,26.8,355,0.4
19.0,88.667,False,0.0,25.86,38.743,24.064,168.0,170.0,251.0,276.0,88.667,INTERMEDIATE,19.0,1,4.0,17.853,0,22.1,76.0,1003.2,27.1,139,0.6
20.0,84.805,False,0.0,22.439,39.129,23.237,179.0,165.0,251.0,261.0,84.805,INTERMEDIATE,20.0,1,4.0,11.007,0,22.0,77.0,1003.2,27.1,117,0.5
21.0,87.259,False,0.0,23.973,40.035,23.251,,169.0,251.0,261.0,84.805,INTERMEDIATE,21.0,1,2.0,4.91,0,22.1,76.0,1003.2,27.6,108,0.5
22.0,104.688,True,26.895,22.655,39.83,42.203,176.0,169.0,,260.0,84.805,INTERMEDIATE,22.0,1,3.0,6.158,0,22.1,76.0,1003.0,27.3,78,0.3
