LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,98.082,False,0.0,,30.36,29.775,281.0,298.0,290.0,301.0,98.082,MEDIUM,1.0,1,3.0,2.091,0,25.4,58.0,1012.5,28.6,343,3.5
2.0,95.275,False,0.0,35.387,30.255,29.633,279.0,300.0,291.0,302.0,95.275,MEDIUM,2.0,1,3.0,2.644,0,25.4,58.0,1012.5,28.5,352,3.5
3.0,94.89,False,0.0,35.145,30.204,29.541,282.0,301.0,290.0,304.0,94.89,MEDIUM,3.0,2,3.0,2.9379999999999997,0,25.5,58.0,1012.5,28.5,356,3.4
4.0,94.7,False,0.0,35.025,30.238,29.437,,302.0,291.0,307.0,94.7,MEDIUM,4.0,2,3.0,3.198,0,25.5,58.0,1012.7,28.5,320,3.5
5.0,94.809,False,0.0,35.107,30.147,29.555,,303.0,290.0,307.0,94.7,MEDIUM,5.0,2,3.0,3.511,0,25.6,59.0,1012.7,28.2,338,2.2
6.0,94.84,False,0.0,35.157,30.156,29.527,284.0,303.0,291.0,309.0,94.7,MEDIUM,6.0,2,3.0,3.87,0,25.5,59.0,1012.7,28.5,348,1.6
7.0,94.634,False,0.0,35.083,30.108,29.443,282.0,304.0,291.0,307.0,94.634,MEDIUM,7.0,2,3.0,3.683,0,25.5,60.0,1012.7,28.6,340,1.8
8.0,94.821,False,0.0,35.108,30.194,29.519,284.0,304.0,291.0,307.0,94.634,MEDIUM,8.0,1,3.0,3.885,0,25.5,61.0,1012.7,28.4,342,2.9
9.0,94.832,False,0.0,35.15,30.248,29.434,281.0,304.0,291.0,307.0,94.634,MEDIUM,9.0,1,3.0,3.892,0,25.5,61.0,1012.9,28.1,330,2.5
10.0,95.252,False,0.0,35.219,30.413,29.62,282.0,303.0,291.0,306.0,94.634,MEDIUM,10.0,1,3.0,4.308,0,25.5,60.0,1012.7,28.4,334,1.2
11.0,94.959,False,0.0,35.104,30.262,29.593,283.0,302.0,290.0,305.0,94.634,MEDIUM,11.0,1,3.0,4.7219999999999995,0,25.5,60.0,1012.9,28.4,339,1.8
12.0,95.191,False,0.0,35.303,30.273,29.615,,302.0,290.0,303.0,94.634,MEDIUM,12.0,1,3.0,5.242,0,25.5,59.0,1012.9,28.4,343,1.6
13.0,94.982,False,0.0,35.203,30.242,29.537,,303.0,291.0,303.0,94.634,MEDIUM,13.0,1,3.0,5.01,0,25.5,59.0,1012.9,28.3,329,2.2
14.0,95.093,False,0.0,35.142,30.279,29.672,282.0,304.0,291.0,305.0,94.634,MEDIUM,14.0,1,3.0,4.787,0,25.5,59.0,1012.9,28.3,328,2.5
15.0,95.37,False,0.0,35.19,30.526,29.654,283.0,304.0,291.0,305.0,94.634,MEDIUM,15.0,1,3.0,2.672,0,25.6,59.0,1013.0,28.4,331,2.2
16.0,104.577,True,20.731,35.375,30.273,38.929,281.0,304.0,,133.0,94.634,MEDIUM,16.0,1,2.0,3.409,0,25.5,59.0,1013.0,28.3,345,3.0
17.0,,False,0.0,67.639,51.363,63.656,229.0,144.0,212.0,177.0,94.634,HARD,1.0,2,2.0,,0,25.5,59.0,1012.9,27.9,330,2.2
18.0,,False,0.0,55.341,48.281,55.945,215.0,169.0,209.0,174.0,94.634,HARD,2.0,2,2.0,,0,25.4,59.0,1013.0,28.2,344,2.0
19.0,149.635,False,0.0,53.413,46.744,49.478,218.0,214.0,252.0,222.0,94.634,HARD,3.0,1,2.0,,0,25.4,60.0,1013.0,28.1,331,1.2
20.0,,False,0.0,52.136,45.115,66.236,140.0,150.0,293.0,96.0,94.634,HARD,4.0,1,2.0,,0,25.4,60.0,1013.0,28.2,132,1.8
21.0,95.227,False,0.0,35.577,29.986,29.664,284.0,299.0,291.0,303.0,94.634,HARD,5.0,1,2.0,,0,25.4,60.0,1013.0,27.8,319,1.6
22.0,94.167,False,0.0,34.979,29.863,29.325,281.0,300.0,291.0,305.0,94.167,HARD,6.0,1,2.0,,0,25.4,60.0,1013.0,27.7,148,1.6
23.0,93.688,False,0.0,34.814,29.795,29.079,284.0,301.0,291.0,307.0,93.688,HARD,7.0,1,2.0,,0,25.4,59.0,1013.0,28.1,341,2.2
24.0,93.445,False,0.0,34.675,29.704,29.066,285.0,302.0,291.0,306.0,93.445,HARD,8.0,1,2.0,,0,25.5,59.0,1013.0,27.8,336,2.0
25.0,93.301,False,0.0,34.521,29.663,29.117,286.0,303.0,293.0,306.0,93.301,HARD,9.0,1,2.0,,0,25.4,59.0,1013.0,27.8,288,2.2
26.0,93.304,False,0.0,34.575,29.713,29.016,,304.0,291.0,306.0,93.301,HARD,10.0,1,2.0,,0,25.4,59.0,1013.0,27.8,344,1.7
27.0,93.059,False,0.0,34.458,29.571,29.03,,303.0,293.0,306.0,93.059,HARD,11.0,1,2.0,,0,25.5,59.0,1013.0,27.8,359,2.7
28.0,93.03,False,0.0,34.398,29.606,29.026,287.0,303.0,292.0,306.0,93.03,HARD,12.0,1,2.0,,0,25.5,59.0,1013.2,27.8,328,2.2
29.0,92.93,False,0.0,34.306,29.556,29.068,285.0,304.0,292.0,308.0,92.93,HARD,13.0,1,2.0,,0,25.5,59.0,1013.2,27.7,326,2.2
30.0,92.778,False,0.0,34.243,29.56,28.975,287.0,306.0,292.0,307.0,92.778,HARD,14.0,1,2.0,,0,25.5,58.0,1013.2,27.8,344,1.2
31.0,92.897,False,0.0,34.328,29.639,28.93,,305.0,293.0,308.0,92.778,HARD,15.0,1,2.0,,0,25.5,57.0,1013.2,27.9,329,2.7
32.0,92.887,False,0.0,34.333,29.581,28.973,285.0,302.0,292.0,308.0,92.778,HARD,16.0,1,2.0,,0,25.5,57.0,1013.2,27.7,349,2.9
33.0,92.855,False,0.0,34.31,29.588,28.957,287.0,305.0,292.0,307.0,92.778,HARD,17.0,1,2.0,,0,25.4,57.0,1013.2,27.6,311,1.8
34.0,92.827,False,0.0,34.322,29.485,29.02,,304.0,293.0,307.0,92.778,HARD,18.0,1,2.0,,0,25.5,57.0,1013.2,27.7,341,1.7
35.0,92.474,False,0.0,34.189,29.384,28.901,286.0,306.0,293.0,306.0,92.474,HARD,19.0,1,2.0,,0,25.5,57.0,1013.2,27.6,342,1.7
