LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,138.601,False,0.0,,53.475,44.864,233.0,241.0,229.0,203.0,138.601,INTERMEDIATE,1.0,,12.0,13.232,0,26.7,81.0,1008.0,29.5,9,0.8
2.0,124.389,False,0.0,32.523,48.799,43.067,275.0,256.0,233.0,278.0,124.389,INTERMEDIATE,2.0,,10.0,16.263,0,26.9,82.0,1008.0,29.9,165,0.6
3.0,123.369,False,0.0,32.435,48.845,42.089,282.0,258.0,235.0,,123.369,INTERMEDIATE,3.0,,9.0,18.757,0,26.9,82.0,1008.0,29.8,176,0.8
4.0,123.238,False,0.0,31.869,49.406,41.963,264.0,254.0,238.0,272.0,123.238,INTERMEDIATE,4.0,,9.0,21.685,0,26.8,82.0,1008.0,29.4,194,0.8
5.0,122.703,False,0.0,31.644,48.332,42.727,286.0,258.0,232.0,278.0,122.703,INTERMEDIATE,5.0,,9.0,24.121,0,26.9,83.0,1008.0,29.3,164,0.8
6.0,123.027,False,0.0,31.9,48.435,42.692,284.0,254.0,236.0,275.0,122.703,INTERMEDIATE,6.0,,9.0,27.054,0,27.0,83.0,1008.0,29.4,160,0.6
7.0,123.289,False,0.0,32.037,48.482,42.77,,258.0,236.0,,122.703,INTERMEDIATE,7.0,,9.0,29.629,0,27.0,82.0,1008.0,29.4,166,1.1
8.0,143.24,False,0.0,32.664,55.75,54.826,,174.0,164.0,,122.703,INTERMEDIATE,8.0,,9.0,37.139,0,27.1,83.0,1008.0,29.2,166,1.3
9.0,,False,0.0,42.191,62.511,57.988,207.0,210.0,156.0,215.0,122.703,INTERMEDIATE,9.0,1,9.0,,0,27.0,83.0,1008.0,29.0,180,1.0
10.0,,False,0.0,44.443,69.294,44.859,200.0,219.0,234.0,235.0,122.703,INTERMEDIATE,10.0,1,9.0,,0,27.0,83.0,1008.0,28.8,0,0.5
