LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,101.343,False,0.0,,40.647,33.198,212.0,181.0,199.0,302.0,101.343,MEDIUM,1.0,1,1.0,0.0,0,28.9,52.0,991.7,34.6,111,2.0
2.0,101.696,False,0.0,27.804,40.703,33.189,205.0,179.0,199.0,304.0,101.343,MEDIUM,2.0,1,1.0,0.0,0,28.9,51.0,991.5,34.6,149,4.1
3.0,101.893,False,0.0,27.91,40.636,33.347,202.0,180.0,197.0,303.0,101.343,MEDIUM,3.0,1,1.0,0.0,0,28.9,50.0,991.5,34.7,105,4.5
4.0,102.581,False,0.0,28.03,40.805,33.746,199.0,178.0,197.0,303.0,101.343,MEDIUM,4.0,1,1.0,0.0,0,29.0,50.0,991.4,34.8,108,4.0
5.0,102.87,False,0.0,28.203,41.199,33.468,,177.0,198.0,301.0,101.343,MEDIUM,5.0,1,1.0,0.0,0,29.1,50.0,991.5,34.7,112,6.4
6.0,102.826,False,0.0,28.026,41.091,33.709,200.0,176.0,197.0,304.0,101.343,MEDIUM,6.0,1,1.0,0.0,0,28.9,50.0,991.2,34.7,110,6.6
7.0,102.314,False,0.0,27.879,40.93,33.505,202.0,178.0,197.0,305.0,101.343,MEDIUM,7.0,1,1.0,0.0,0,28.8,51.0,991.4,35.1,104,6.0
8.0,102.83,False,0.0,28.139,41.029,33.662,199.0,175.0,197.0,305.0,101.343,MEDIUM,8.0,1,1.0,0.0,0,28.9,50.0,991.5,35.2,113,5.3
9.0,102.412,False,0.0,27.87,40.943,33.599,201.0,177.0,198.0,305.0,101.343,MEDIUM,9.0,1,1.0,0.0,0,29.0,50.0,991.4,35.3,112,7.5
10.0,102.492,False,0.0,27.826999999999998,41.055,33.61,202.0,179.0,198.0,303.0,101.343,MEDIUM,10.0,1,1.0,0.0,0,29.1,51.0,991.2,35.6,99,7.0
