LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,101.571,False,0.0,,18.707,46.357,274.0,293.0,273.0,239.0,101.571,MEDIUM,1.0,2,4.0,3.717,0,17.4,52.0,1018.5,34.4,0,1.2
2.0,132.105,False,0.0,48.846,31.614,51.645,167.0,107.0,253.0,93.0,101.571,MEDIUM,2.0,2,3.0,2.524,0,17.6,53.0,1018.5,34.1,186,0.5
3.0,130.657,False,0.0,46.836,29.178,54.643,204.0,162.0,289.0,133.0,101.571,MEDIUM,3.0,2,3.0,1.164,0,17.6,52.0,1018.5,34.3,29,1.5
4.0,83.391,False,0.0,28.9,18.326,36.165,280.0,296.0,288.0,303.0,83.391,MEDIUM,4.0,2,3.0,1.421,0,17.8,52.0,1018.5,34.3,264,0.8
5.0,83.104,False,0.0,28.935,18.347,35.822,273.0,294.0,290.0,286.0,83.104,MEDIUM,5.0,2,3.0,1.391,0,17.8,52.0,1018.5,34.0,163,1.2
6.0,82.843,False,0.0,28.986,17.951,35.906,276.0,322.0,304.0,296.0,82.843,MEDIUM,6.0,2,3.0,1.075,0,17.7,52.0,1018.5,33.7,157,1.0
7.0,95.07,False,0.0,28.798000000000002,18.011,48.261,274.0,319.0,165.0,306.0,82.843,MEDIUM,7.0,2,2.0,1.3639999999999999,0,17.8,51.0,1018.5,33.7,155,1.8
8.0,,True,925.021,48.876,45.642,,92.0,144.0,,210.0,82.843,MEDIUM,8.0,1,2.0,,0,17.8,52.0,1018.4,33.1,268,1.6
9.0,,False,0.0,54.215,52.945,,117.0,144.0,2.0,179.0,82.843,HARD,1.0,2,2.0,,0,17.9,52.0,1018.4,32.8,247,0.6
10.0,87.827,False,0.0,33.323,18.633,35.871,276.0,288.0,288.0,242.0,82.843,HARD,2.0,2,2.0,,0,18.0,52.0,1018.4,32.9,161,1.2
11.0,83.46,False,0.0,29.054,18.556,35.85,270.0,292.0,289.0,288.0,82.843,HARD,3.0,2,2.0,,0,18.0,51.0,1018.5,33.0,74,0.6
12.0,81.994,False,0.0,28.826999999999998,18.134,35.033,281.0,321.0,287.0,293.0,81.994,HARD,4.0,2,1.0,,0,18.0,51.0,1018.4,33.0,141,0.8
13.0,83.286,False,0.0,28.876,18.642,35.768,272.0,287.0,286.0,281.0,81.994,HARD,5.0,2,1.0,,0,18.0,52.0,1018.4,32.9,140,1.2
14.0,82.869,False,0.0,28.769,18.604,35.496,275.0,290.0,287.0,293.0,81.994,HARD,6.0,2,1.0,,0,18.0,50.0,1018.5,32.8,128,1.2
15.0,82.817,False,0.0,28.785,18.527,35.505,274.0,290.0,286.0,290.0,81.994,HARD,7.0,1,1.0,,0,18.1,51.0,1018.2,32.5,155,1.0
16.0,82.599,False,0.0,28.696,18.502,35.401,276.0,291.0,286.0,292.0,81.994,HARD,8.0,1,1.0,,0,18.0,51.0,1018.4,32.5,346,1.1
17.0,82.595,False,0.0,28.6,18.529,35.466,,290.0,286.0,294.0,81.994,HARD,9.0,1,1.0,,0,17.9,50.0,1018.4,32.1,142,0.8
18.0,100.315,False,0.0,28.525,24.481,47.309,,222.0,165.0,292.0,81.994,HARD,10.0,1,1.0,,0,18.0,51.0,1018.4,32.3,134,1.7
19.0,103.75,False,0.0,39.394,26.616,37.74,239.0,250.0,286.0,194.0,81.994,HARD,11.0,1,1.0,,0,17.9,51.0,1018.5,32.0,343,1.5
20.0,82.389,False,0.0,28.643,18.603,35.143,270.0,284.0,287.0,286.0,81.994,HARD,12.0,1,1.0,,0,17.9,51.0,1018.4,31.7,251,1.3
21.0,82.11,False,0.0,28.596,18.437,35.077,274.0,285.0,288.0,285.0,81.994,HARD,13.0,1,1.0,,0,17.8,54.0,1018.2,31.7,147,0.8
22.0,82.269,False,0.0,28.588,18.517,35.164,271.0,287.0,287.0,302.0,81.994,HARD,14.0,1,1.0,,0,17.9,54.0,1018.2,31.7,321,1.6
23.0,82.193,False,0.0,28.561,18.479,35.153,274.0,289.0,287.0,292.0,81.994,HARD,15.0,1,1.0,,0,17.8,53.0,1018.2,31.7,141,0.6
24.0,81.843,False,0.0,28.374,18.413,35.056,276.0,290.0,287.0,293.0,81.843,HARD,16.0,1,1.0,,0,17.7,55.0,1018.2,31.7,164,1.5
25.0,82.104,False,0.0,28.561,18.458,35.085,275.0,288.0,288.0,290.0,81.843,HARD,17.0,1,1.0,,0,17.8,53.0,1018.2,31.4,130,1.7
26.0,81.972,False,0.0,28.495,18.436,35.041,,290.0,288.0,294.0,81.843,HARD,18.0,1,1.0,,0,17.7,52.0,1018.2,31.4,148,1.0
27.0,81.924,False,0.0,28.394,18.431,35.099,278.0,289.0,288.0,,81.843,HARD,19.0,1,1.0,,0,17.8,54.0,1018.2,31.4,133,1.6
28.0,81.926,False,0.0,28.436,18.404,35.086,277.0,290.0,287.0,,81.843,HARD,20.0,1,1.0,,0,17.7,54.0,1018.2,31.1,147,0.6
29.0,81.772,False,0.0,28.409,18.376,34.987,,290.0,288.0,,81.772,HARD,21.0,1,1.0,,0,17.7,54.0,1018.2,31.1,156,0.8
30.0,82.002,False,0.0,28.353,18.414,35.235,276.0,290.0,288.0,,81.772,HARD,22.0,1,1.0,,0,17.8,54.0,1018.2,31.0,343,1.3
31.0,82.024,False,0.0,28.451,18.29,35.283,277.0,289.0,288.0,293.0,81.772,HARD,23.0,2,1.0,,0,17.9,54.0,1018.4,30.9,91,0.6
32.0,82.012,False,0.0,28.335,18.404,35.273,,290.0,288.0,296.0,81.772,HARD,24.0,4,1.0,,0,17.9,54.0,1018.2,31.0,139,1.0
33.0,81.819,False,0.0,28.27,18.343,35.206,278.0,290.0,288.0,,81.772,HARD,25.0,4,1.0,,0,17.9,53.0,1018.2,30.8,0,1.0
34.0,81.894,False,0.0,28.381,18.355,35.158,277.0,289.0,288.0,292.0,81.772,HARD,26.0,4,1.0,,0,17.9,54.0,1018.0,30.7,326,0.8
35.0,81.681,False,0.0,28.333,18.331,35.017,279.0,291.0,289.0,299.0,81.681,HARD,27.0,1,1.0,,0,17.9,54.0,1018.2,30.6,94,1.6
36.0,81.732,False,0.0,28.37,18.313,35.049,278.0,288.0,289.0,293.0,81.681,HARD,28.0,1,1.0,,0,17.9,55.0,1018.2,30.6,118,1.3
37.0,81.403,False,0.0,28.327,18.257,34.819,279.0,290.0,289.0,294.0,81.403,HARD,29.0,1,1.0,,0,17.8,55.0,1018.4,30.2,155,0.8
38.0,81.319,False,0.0,28.293,18.217,34.809,278.0,295.0,291.0,292.0,81.319,HARD,30.0,1,1.0,,0,17.9,55.0,1018.2,30.2,0,0.8
39.0,81.578,False,0.0,28.528,18.282,34.768,276.0,289.0,289.0,294.0,81.319,HARD,31.0,4,1.0,,0,17.8,55.0,1018.2,30.1,144,1.0
40.0,81.078,False,0.0,28.204,18.226,34.648,280.0,290.0,290.0,291.0,81.078,HARD,32.0,4,1.0,,0,17.7,56.0,1018.4,30.1,128,2.2
41.0,80.986,False,0.0,28.187,18.181,34.618,,292.0,290.0,293.0,80.986,HARD,33.0,5,1.0,,0,17.6,56.0,1018.2,29.9,0,1.5
42.0,81.148,False,0.0,28.228,18.251,34.669,,290.0,291.0,,80.986,HARD,34.0,5,1.0,,0,17.6,57.0,1018.2,29.9,0,0.6
43.0,81.166,False,0.0,28.222,18.17,34.774,,293.0,292.0,295.0,80.986,HARD,35.0,5,1.0,,0,17.6,57.0,1018.2,29.7,156,0.8
44.0,81.089,False,0.0,28.159,18.228,34.702,275.0,290.0,290.0,298.0,80.986,HARD,36.0,5,1.0,,0,17.6,57.0,1018.2,29.6,0,1.7
45.0,80.807,False,0.0,28.13,18.192,34.485,281.0,290.0,290.0,295.0,80.807,HARD,37.0,5,1.0,,0,17.5,57.0,1018.2,29.2,0,1.1
46.0,80.703,False,0.0,28.029,18.123,34.551,282.0,292.0,291.0,,80.703,HARD,38.0,5,1.0,,0,17.5,58.0,1018.4,29.3,90,1.2
47.0,84.107,False,0.0,28.065,18.117,37.925,281.0,291.0,287.0,291.0,80.703,HARD,39.0,5,1.0,,0,17.5,58.0,1018.4,29.4,140,0.8
48.0,81.073,False,0.0,28.373,18.133,34.567,,289.0,291.0,294.0,80.703,HARD,40.0,5,1.0,,0,17.5,57.0,1018.2,29.2,126,0.8
49.0,80.342,False,0.0,27.834,18.133,34.375,284.0,287.0,291.0,291.0,80.342,HARD,41.0,5,1.0,,0,17.5,57.0,1018.2,29.2,133,1.2
50.0,80.471,False,0.0,28.018,18.151,34.302,283.0,289.0,291.0,293.0,80.342,HARD,42.0,5,1.0,,0,17.5,57.0,1018.2,29.2,160,0.8
51.0,80.632,False,0.0,28.001,18.094,34.537,282.0,289.0,292.0,292.0,80.342,HARD,43.0,5,1.0,,0,17.5,56.0,1018.2,29.0,147,0.8
52.0,80.738,False,0.0,28.025,18.09,34.623,281.0,289.0,291.0,296.0,80.342,HARD,44.0,5,1.0,,0,17.5,56.0,1018.2,28.9,61,1.3
53.0,80.671,False,0.0,28.126,18.043,34.502,282.0,291.0,292.0,298.0,80.342,HARD,45.0,1,1.0,,0,17.5,56.0,1018.2,28.7,0,0.6
