LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,77.639,False,0.0,,31.613,25.44,292.0,233.0,109.0,297.0,77.639,MEDIUM,1.0,,1.0,0.0,0,22.1,51.0,934.0,32.0,246,1.2
2.0,115.479,True,0.0,31.698,46.293,37.488,176.0,184.0,,195.0,77.639,MEDIUM,2.0,,1.0,0.0,0,22.3,50.0,934.0,32.1,240,1.1
3.0,124.721,False,0.0,37.877,46.298,40.546,191.0,61.0,270.0,236.0,77.639,MEDIUM,3.0,,1.0,0.0,0,22.5,51.0,934.0,33.0,323,0.6
4.0,69.691,False,0.0,17.618,30.97,21.103,293.0,230.0,270.0,297.0,69.691,MEDIUM,4.0,,1.0,0.0,0,22.7,49.0,934.0,34.3,0,0.0
5.0,70.026,False,0.0,17.716,31.158,21.152,285.0,230.0,270.0,289.0,69.691,MEDIUM,5.0,,1.0,0.0,0,22.8,49.0,934.0,34.3,216,1.1
6.0,70.156,False,0.0,17.681,31.308,21.167,286.0,231.0,270.0,288.0,69.691,MEDIUM,6.0,,1.0,0.0,0,22.9,50.0,934.0,33.8,80,1.0
7.0,70.168,False,0.0,17.733,31.265,21.17,288.0,228.0,271.0,291.0,69.691,MEDIUM,7.0,,1.0,0.0,0,23.0,51.0,934.0,33.6,103,0.8
8.0,69.967,False,0.0,17.679,31.137,21.151,290.0,229.0,271.0,292.0,69.691,MEDIUM,8.0,,1.0,0.0,0,23.0,50.0,934.0,33.4,0,1.1
9.0,69.989,False,0.0,17.59,31.216,21.183,293.0,230.0,271.0,291.0,69.691,MEDIUM,9.0,1,1.0,0.0,0,23.2,50.0,933.9,33.6,53,1.3
10.0,69.856,False,0.0,17.605,31.174,21.077,291.0,228.0,271.0,290.0,69.691,MEDIUM,10.0,1,1.0,0.0,0,23.2,49.0,934.0,34.0,112,0.8
11.0,70.051,False,0.0,17.643,31.272,21.136,293.0,228.0,270.0,293.0,69.691,MEDIUM,11.0,1,1.0,0.0,0,23.2,49.0,933.9,34.1,0,1.3
12.0,69.833,False,0.0,17.591,31.121,21.121,296.0,230.0,270.0,294.0,69.691,MEDIUM,12.0,1,1.0,0.0,0,23.2,49.0,934.0,34.1,81,0.8
13.0,70.196,False,0.0,17.669,31.232,21.295,295.0,229.0,269.0,291.0,69.691,MEDIUM,13.0,1,1.0,0.0,0,23.2,49.0,933.9,34.2,86,1.2
14.0,73.573,False,0.0,17.65,31.903,24.02,275.0,229.0,93.0,293.0,69.691,MEDIUM,14.0,1,1.0,0.0,0,23.1,48.0,934.0,34.5,161,0.8
15.0,93.592,False,0.0,24.171,40.334,29.087,219.0,203.0,197.0,280.0,69.691,MEDIUM,15.0,1,1.0,0.0,0,23.2,49.0,934.0,34.4,50,1.1
16.0,79.611,False,0.0,24.619,33.788,21.204,173.0,231.0,270.0,287.0,69.691,MEDIUM,16.0,1,1.0,0.0,0,23.0,49.0,934.0,34.1,284,0.6
17.0,69.924,False,0.0,17.653,31.205,21.066,299.0,230.0,270.0,290.0,69.691,MEDIUM,17.0,1,1.0,0.0,0,22.9,49.0,934.0,34.0,285,0.4
18.0,70.002,False,0.0,17.681,31.181,21.14,293.0,228.0,271.0,292.0,69.691,MEDIUM,18.0,1,1.0,0.0,0,22.8,50.0,934.0,32.6,69,0.8
19.0,69.942,False,0.0,17.622,31.213,21.107,295.0,228.0,270.0,292.0,69.691,MEDIUM,19.0,1,1.0,0.0,0,22.8,51.0,934.0,32.7,95,0.8
20.0,70.16,False,0.0,17.672,31.316,21.172,293.0,229.0,270.0,293.0,69.691,MEDIUM,20.0,1,1.0,0.0,0,22.8,51.0,934.0,32.4,73,0.8
21.0,70.142,False,0.0,17.729,31.264,21.149,,230.0,271.0,295.0,69.691,MEDIUM,21.0,1,1.0,0.0,0,22.7,51.0,934.0,32.8,145,1.2
22.0,70.337,False,0.0,17.662,31.399,21.276,,225.0,270.0,293.0,69.691,MEDIUM,22.0,1,1.0,0.0,0,22.8,51.0,934.0,32.8,325,1.0
23.0,70.396,False,0.0,17.659,31.502,21.235,295.0,227.0,270.0,296.0,69.691,MEDIUM,23.0,1,1.0,0.0,0,22.8,52.0,934.0,32.5,93,0.8
24.0,73.519,True,21.281,17.669,31.481,24.369,294.0,229.0,,295.0,69.691,MEDIUM,24.0,1,1.0,0.0,0,22.7,52.0,934.0,32.6,118,1.2
25.0,86.769,False,0.0,34.338,31.305,21.126,304.0,231.0,282.0,318.0,69.691,HARD,1.0,1,3.0,6.802,0,22.7,51.0,934.0,32.5,3,1.5
