LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,110.456,False,0.0,,43.217,25.646,200.0,215.0,317.0,320.0,110.456,MEDIUM,1.0,1,2.0,0.347,0,25.1,49.0,1008.7,43.3,195,1.0
2.0,107.707,False,0.0,38.431,43.642,25.634,194.0,212.0,318.0,322.0,107.707,MEDIUM,2.0,1,2.0,0.398,0,25.0,49.0,1008.7,42.9,222,1.2
3.0,107.677,False,0.0,38.493,43.718,25.466,196.0,203.0,342.0,322.0,107.677,MEDIUM,3.0,1,1.0,0.0,0,25.0,49.0,1008.7,43.1,16,0.4
4.0,107.108,False,0.0,37.933,43.372,25.803,197.0,209.0,311.0,316.0,107.108,MEDIUM,4.0,1,1.0,0.0,0,24.9,50.0,1008.7,43.0,233,1.1
5.0,107.476,False,0.0,38.284,43.414,25.778,203.0,203.0,311.0,316.0,107.108,MEDIUM,5.0,1,1.0,0.0,0,25.0,50.0,1008.5,43.2,138,0.8
6.0,107.202,False,0.0,38.262,43.24,25.7,201.0,209.0,313.0,317.0,107.108,MEDIUM,6.0,1,1.0,0.0,0,24.8,49.0,1008.5,43.3,154,0.6
7.0,106.995,False,0.0,38.268,43.032,25.695,206.0,212.0,314.0,317.0,106.995,MEDIUM,7.0,1,1.0,0.0,0,24.8,50.0,1008.5,41.6,64,1.5
8.0,106.801,False,0.0,38.038,43.034,25.729,,217.0,314.0,316.0,106.801,MEDIUM,8.0,1,1.0,0.0,0,25.0,50.0,1008.4,41.7,106,0.8
9.0,106.944,False,0.0,37.979,43.119,25.846,,220.0,314.0,317.0,106.801,MEDIUM,9.0,1,1.0,0.0,0,25.0,49.0,1008.4,42.2,74,0.8
10.0,110.778,True,20.749,37.936,43.428,29.414,211.0,216.0,,317.0,106.801,MEDIUM,10.0,1,3.0,3.26,0,25.0,50.0,1008.2,42.4,148,0.8
11.0,,False,0.0,66.403,58.029,38.926,140.0,139.0,210.0,203.0,106.801,HARD,1.0,1,7.0,,0,25.1,50.0,1008.2,41.0,74,1.1
12.0,,False,0.0,53.777,62.06,38.416,119.0,184.0,213.0,263.0,106.801,HARD,2.0,1,3.0,,0,24.8,51.0,1008.2,41.0,343,1.2
13.0,,False,0.0,56.452,65.618,42.153,74.0,53.0,291.0,169.0,106.801,HARD,3.0,1,3.0,,0,24.9,50.0,1008.0,41.0,226,1.2
14.0,106.936,False,0.0,38.813,42.577,25.546,200.0,215.0,314.0,319.0,106.801,HARD,4.0,1,2.0,,0,25.1,49.0,1008.0,42.5,64,0.8
