LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,120.179,False,0.0,,49.276,35.061,278.0,124.0,197.0,122.0,120.179,MEDIUM,1.0,,1.0,0.0,0,27.0,42.0,1013.0,43.9,138,2.5
2.0,,False,0.0,65.251,68.6,30.466,119.0,214.0,123.0,129.0,120.179,MEDIUM,2.0,1,1.0,,0,27.1,41.0,1013.0,43.6,135,3.0
3.0,,False,0.0,68.931,68.363,28.07,132.0,233.0,206.0,192.0,120.179,MEDIUM,3.0,1,1.0,,0,27.2,42.0,1013.0,43.7,136,2.5
4.0,,False,0.0,60.867,66.499,48.366,170.0,76.0,253.0,70.0,120.179,MEDIUM,4.0,1,1.0,,0,27.1,43.0,1013.0,43.0,114,2.2
5.0,96.748,False,0.0,34.9,42.96,18.888,276.0,294.0,253.0,286.0,96.748,MEDIUM,5.0,1,1.0,,0,27.2,43.0,1013.0,42.6,133,2.0
6.0,97.837,False,0.0,35.176,43.659,19.002,274.0,295.0,253.0,285.0,96.748,MEDIUM,6.0,1,1.0,,0,27.1,43.0,1013.0,42.4,123,2.4
7.0,98.033,False,0.0,35.395,43.518,19.12,277.0,296.0,254.0,283.0,96.748,MEDIUM,7.0,1,1.0,,0,27.1,42.0,1013.0,43.0,106,1.2
8.0,98.148,False,0.0,35.547,43.697,18.904,,295.0,254.0,288.0,96.748,MEDIUM,8.0,1,1.0,,0,27.2,41.0,1013.0,43.1,85,1.2
9.0,98.241,False,0.0,35.535,43.764,18.942,275.0,296.0,253.0,285.0,96.748,MEDIUM,9.0,1,1.0,,0,27.1,41.0,1013.0,42.9,139,1.0
10.0,98.301,False,0.0,35.544,43.76,18.997,274.0,296.0,253.0,285.0,96.748,MEDIUM,10.0,1,1.0,,0,27.1,40.0,1012.9,43.5,155,1.5
