LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,108.811,False,0.0,,30.57,43.417,226.0,273.0,237.0,236.0,108.811,MEDIUM,4.0,,1.0,0.0,0,31.5,73.0,1009.9,37.4,235,0.4
2.0,145.603,False,0.0,56.965,45.684,42.954,170.0,147.0,200.0,145.0,108.811,MEDIUM,5.0,,1.0,0.0,0,31.5,73.0,1009.9,37.6,0,0.5
3.0,145.963,False,0.0,56.379,46.05,43.534,181.0,211.0,174.0,162.0,108.811,MEDIUM,6.0,,1.0,0.0,0,31.5,74.0,1009.9,37.3,315,1.0
4.0,,False,0.0,50.072,46.453,56.634,179.0,132.0,274.0,225.0,108.811,MEDIUM,7.0,,1.0,,0,31.5,75.0,1009.9,37.3,146,0.4
5.0,90.273,False,0.0,33.31,30.26,26.703,231.0,274.0,274.0,291.0,90.273,MEDIUM,8.0,,1.0,,0,31.5,75.0,1009.9,37.3,112,0.6
6.0,89.409,False,0.0,33.139,29.969,26.301,226.0,275.0,275.0,298.0,89.409,MEDIUM,9.0,,1.0,,0,31.5,75.0,1009.9,36.8,156,0.6
7.0,89.083,False,0.0,32.85,29.847,26.386,231.0,275.0,275.0,299.0,89.083,MEDIUM,10.0,1,1.0,,0,31.5,75.0,1009.7,37.2,178,0.6
8.0,89.362,False,0.0,33.037,29.899,26.426,229.0,275.0,275.0,301.0,89.083,MEDIUM,11.0,1,1.0,,0,31.4,74.0,1010.0,37.2,204,0.6
9.0,89.326,False,0.0,33.034,29.86,26.432,230.0,276.0,275.0,,89.083,MEDIUM,12.0,1,1.0,,0,31.5,75.0,1010.0,36.8,168,0.8
10.0,89.457,False,0.0,33.02,29.859,26.578,229.0,276.0,274.0,300.0,89.083,MEDIUM,13.0,1,1.0,,0,31.4,75.0,1009.9,36.7,188,0.5
11.0,89.357,False,0.0,33.039,29.873,26.445,228.0,276.0,275.0,302.0,89.083,MEDIUM,14.0,1,1.0,,0,31.5,76.0,1009.9,36.9,146,1.2
12.0,89.202,False,0.0,32.949,29.837,26.416,,276.0,275.0,299.0,89.083,MEDIUM,15.0,1,1.0,,0,31.4,76.0,1010.0,36.9,167,1.2
13.0,89.015,False,0.0,32.728,29.829,26.458,230.0,277.0,274.0,300.0,89.015,MEDIUM,16.0,1,1.0,,0,31.5,76.0,1009.9,36.9,157,0.8
14.0,89.123,False,0.0,32.952,29.835,26.336,226.0,275.0,275.0,301.0,89.015,MEDIUM,17.0,1,1.0,,0,31.5,76.0,1009.9,37.0,144,0.6
15.0,88.712,False,0.0,32.868,29.69,26.154,231.0,277.0,275.0,300.0,88.712,MEDIUM,18.0,1,1.0,,0,31.5,76.0,1009.7,36.8,156,0.6
16.0,87.875,False,0.0,32.519,29.524,25.832,229.0,277.0,275.0,,87.875,MEDIUM,19.0,1,1.0,,0,31.4,76.0,1009.9,36.7,160,0.8
17.0,92.205,True,28.234,32.615,29.751,29.839,231.0,276.0,,298.0,87.875,MEDIUM,20.0,1,1.0,,0,31.4,77.0,1010.0,36.9,157,1.2
18.0,111.774,False,0.0,54.973,30.317,26.484,226.0,274.0,275.0,173.0,87.875,MEDIUM,4.0,1,1.0,,0,31.4,76.0,1009.9,36.4,220,0.8
19.0,89.076,False,0.0,32.859,29.801,26.416,227.0,272.0,276.0,295.0,87.875,MEDIUM,5.0,1,1.0,,0,31.3,76.0,1009.9,36.8,204,0.6
20.0,88.454,False,0.0,32.658,29.618,26.178,229.0,274.0,275.0,298.0,87.875,MEDIUM,6.0,1,1.0,,0,31.3,76.0,1009.9,36.8,193,0.6
21.0,88.106,False,0.0,32.545,29.436,26.125,233.0,277.0,276.0,299.0,87.875,MEDIUM,7.0,1,1.0,,0,31.3,75.0,1009.7,36.9,188,0.8
22.0,88.024,False,0.0,32.535,29.487,26.002,230.0,280.0,276.0,302.0,87.875,MEDIUM,8.0,1,1.0,,0,31.2,75.0,1009.9,36.5,161,0.5
23.0,87.891,False,0.0,32.39,29.468,26.033,233.0,280.0,276.0,,87.875,MEDIUM,9.0,1,1.0,,0,31.2,75.0,1009.7,36.7,152,1.1
24.0,87.814,False,0.0,32.439,29.413,25.962,232.0,277.0,276.0,303.0,87.814,MEDIUM,10.0,1,1.0,,0,31.2,75.0,1009.9,36.7,133,0.8
25.0,87.775,False,0.0,32.404,29.441,25.93,234.0,278.0,276.0,302.0,87.775,MEDIUM,11.0,1,1.0,,0,31.2,75.0,1009.7,36.7,173,0.6
26.0,87.768,False,0.0,32.34,29.44,25.988,231.0,280.0,277.0,303.0,87.768,MEDIUM,12.0,1,1.0,,0,31.2,75.0,1009.9,36.5,168,1.5
27.0,87.806,False,0.0,32.408,29.452,25.946,232.0,280.0,277.0,,87.768,MEDIUM,13.0,1,1.0,,0,31.3,74.0,1009.7,37.1,187,1.0
28.0,87.742,False,0.0,32.298,29.415,26.029,233.0,280.0,276.0,,87.742,MEDIUM,14.0,1,1.0,,0,31.3,73.0,1009.9,36.8,132,0.8
29.0,87.588,False,0.0,32.262,29.454,25.872,232.0,280.0,277.0,304.0,87.588,MEDIUM,15.0,1,1.0,,0,31.3,72.0,1009.7,37.1,213,1.2
30.0,87.515,False,0.0,32.27,29.422,25.823,230.0,277.0,277.0,305.0,87.515,MEDIUM,16.0,1,1.0,,0,31.3,71.0,1009.7,36.9,175,1.2
31.0,86.966,False,0.0,31.988,29.418,25.56,233.0,278.0,278.0,304.0,86.966,MEDIUM,17.0,1,1.0,,0,31.4,71.0,1009.9,37.2,0,1.3
32.0,86.665,False,0.0,31.867,29.31,25.488,235.0,278.0,277.0,,86.665,MEDIUM,18.0,1,1.0,,0,31.4,72.0,1009.7,37.2,172,0.5
33.0,86.622,False,0.0,31.93,29.312,25.38,,277.0,278.0,302.0,86.622,MEDIUM,19.0,1,1.0,,0,31.4,73.0,1009.9,36.5,174,1.2
34.0,90.996,True,28.125,32.014,29.384,29.598,,278.0,,301.0,86.622,MEDIUM,20.0,1,1.0,,0,31.4,73.0,1009.7,36.6,273,0.6
35.0,109.802,False,0.0,54.37,29.573,25.859,233.0,275.0,277.0,174.0,86.622,HARD,1.0,1,1.0,,0,31.3,74.0,1009.7,36.3,172,0.8
36.0,86.255,False,0.0,31.836,28.984,25.435,238.0,276.0,278.0,298.0,86.255,HARD,2.0,1,1.0,,0,31.3,74.0,1009.7,36.3,182,0.6
37.0,86.081,False,0.0,31.873,28.959,25.249,236.0,276.0,278.0,299.0,86.081,HARD,3.0,1,1.0,,0,31.2,75.0,1009.7,36.1,158,0.6
38.0,85.835,False,0.0,31.562,28.875,25.398,239.0,276.0,278.0,300.0,85.835,HARD,4.0,1,1.0,,0,31.2,74.0,1009.9,36.2,152,0.6
39.0,85.815,False,0.0,31.557,28.983,25.275,238.0,276.0,278.0,302.0,85.815,HARD,5.0,1,1.0,,0,31.2,74.0,1009.9,36.3,132,0.8
40.0,85.693,False,0.0,31.534,28.911,25.248,,278.0,279.0,301.0,85.693,HARD,6.0,1,1.0,,0,31.2,74.0,1009.9,36.1,137,1.1
41.0,85.861,False,0.0,31.542,29.012,25.307,,278.0,280.0,300.0,85.693,HARD,7.0,1,1.0,,0,31.2,74.0,1009.9,36.1,137,0.8
42.0,85.827,False,0.0,31.653,28.967,25.207,236.0,277.0,281.0,304.0,85.693,HARD,8.0,4,1.0,,0,31.2,74.0,1009.9,36.1,195,0.6
43.0,85.88,False,0.0,31.679,29.108,25.093,237.0,276.0,280.0,305.0,85.693,HARD,9.0,4,1.0,,0,31.2,75.0,1009.9,35.6,134,1.0
44.0,85.475,False,0.0,31.56,28.895,25.02,236.0,277.0,280.0,298.0,85.475,HARD,10.0,4,1.0,,0,31.1,76.0,1009.9,35.6,0,0.6
45.0,85.621,False,0.0,31.598,28.991,25.032,238.0,278.0,282.0,301.0,85.475,HARD,11.0,4,1.0,,0,31.1,76.0,1009.9,35.8,193,0.6
46.0,85.989,False,0.0,31.67,29.229,25.09,236.0,277.0,280.0,307.0,85.475,HARD,12.0,4,1.0,,0,31.1,76.0,1009.9,35.5,142,1.0
47.0,85.969,False,0.0,31.582,29.136,25.251,237.0,278.0,281.0,,85.475,HARD,13.0,4,1.0,,0,31.1,75.0,1009.7,36.1,183,0.5
48.0,86.216,False,0.0,31.675,29.248,25.293,235.0,278.0,281.0,309.0,85.475,HARD,14.0,1,1.0,,0,31.0,75.0,1009.9,36.5,161,1.3
49.0,85.977,False,0.0,31.637,29.09,25.25,,278.0,281.0,305.0,85.475,HARD,15.0,1,1.0,,0,31.1,75.0,1009.9,36.4,139,0.8
50.0,86.015,False,0.0,31.705,29.125,25.185,238.0,283.0,282.0,,85.475,HARD,16.0,1,1.0,,0,31.0,74.0,1009.9,35.9,0,1.3
51.0,90.719,True,29.701999999999998,31.976,29.393,29.35,233.0,284.0,,310.0,85.475,HARD,17.0,1,1.0,,0,31.0,74.0,1009.7,36.3,136,0.8
52.0,109.948,False,0.0,55.733,29.002,25.213,239.0,281.0,279.0,173.0,85.475,MEDIUM,1.0,1,1.0,,0,31.0,73.0,1009.7,36.4,241,0.8
53.0,85.291,False,0.0,31.418,28.708,25.165,240.0,279.0,280.0,305.0,85.291,MEDIUM,2.0,1,1.0,,0,31.0,74.0,1009.9,36.3,166,1.1
54.0,85.037,False,0.0,31.31,28.662,25.065,242.0,281.0,280.0,304.0,85.037,MEDIUM,3.0,1,1.0,,0,31.0,75.0,1009.9,36.3,152,1.2
55.0,85.223,False,0.0,31.517,28.772,24.934,,281.0,288.0,308.0,85.037,MEDIUM,4.0,1,1.0,,0,30.9,74.0,1009.9,35.4,143,0.0
56.0,84.319,False,0.0,30.765,28.669,24.885,243.0,282.0,281.0,327.0,84.319,MEDIUM,5.0,1,1.0,,0,30.9,76.0,1009.7,35.5,155,0.8
57.0,85.803,False,0.0,31.701,28.96,25.142,237.0,281.0,279.0,307.0,84.319,MEDIUM,6.0,1,1.0,,0,30.9,76.0,1009.7,35.6,50,0.6
