LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,99.51,False,0.0,,39.931,34.944,290.0,302.0,208.0,289.0,99.51,MEDIUM,1.0,1,12.0,8.368,0,27.0,49.0,1017.2,32.2,54,1.5
2.0,114.938,False,0.0,18.209,54.569,42.16,291.0,239.0,191.0,320.0,99.51,MEDIUM,2.0,1,11.0,14.957,0,26.9,49.0,1017.2,31.8,91,2.0
3.0,98.051,False,0.0,23.196,41.997,32.858,239.0,303.0,211.0,321.0,98.051,MEDIUM,3.0,1,10.0,9.695,0,26.9,49.0,1017.3,31.8,115,2.6
4.0,89.504,False,0.0,18.166,38.187,33.151,286.0,303.0,207.0,312.0,89.504,MEDIUM,4.0,1,10.0,10.189,0,26.9,50.0,1017.2,31.9,0,1.4
5.0,89.813,False,0.0,18.056,37.945,33.812,288.0,306.0,207.0,319.0,89.504,MEDIUM,5.0,1,10.0,10.898,0,26.8,50.0,1017.4,31.8,113,1.2
6.0,89.412,False,0.0,18.012,38.101,33.299,290.0,327.0,209.0,322.0,89.412,MEDIUM,6.0,1,9.0,10.949,0,26.9,50.0,1017.4,31.8,277,1.7
7.0,89.885,False,0.0,18.085,38.58,33.22,284.0,299.0,208.0,308.0,89.412,MEDIUM,7.0,1,9.0,11.81,0,26.9,51.0,1017.3,31.9,117,1.3
8.0,89.824,False,0.0,18.021,37.966,33.837,289.0,317.0,205.0,329.0,89.412,MEDIUM,8.0,1,9.0,12.774000000000001,0,26.9,51.0,1017.4,31.5,277,1.8
9.0,89.445,False,0.0,18.085,38.121,33.239,288.0,323.0,208.0,326.0,89.412,MEDIUM,9.0,1,8.0,13.212,0,26.8,51.0,1017.4,31.7,116,1.7
10.0,90.449,False,0.0,18.135,38.811,33.503,282.0,298.0,207.0,306.0,89.412,MEDIUM,10.0,1,8.0,14.417,0,26.9,51.0,1017.4,31.7,113,1.4
11.0,90.395,False,0.0,18.08,38.538,33.777,288.0,316.0,207.0,308.0,89.412,MEDIUM,11.0,1,8.0,15.684,0,26.8,51.0,1017.4,31.5,250,2.1
12.0,90.164,False,0.0,18.099,38.564,33.501,289.0,318.0,208.0,306.0,89.412,MEDIUM,12.0,1,7.0,16.764,0,26.8,52.0,1017.4,31.6,278,1.7
13.0,90.178,False,0.0,18.103,38.737,33.338,286.0,298.0,208.0,310.0,89.412,MEDIUM,13.0,1,6.0,17.67,0,26.8,52.0,1017.5,31.5,99,2.5
14.0,90.128,False,0.0,18.006,38.876,33.246,287.0,297.0,208.0,311.0,89.412,MEDIUM,14.0,1,6.0,18.759,0,26.8,51.0,1017.5,31.3,129,1.8
15.0,89.876,False,0.0,18.019,38.636,33.221,286.0,297.0,208.0,308.0,89.412,MEDIUM,15.0,1,5.0,19.565,0,26.8,52.0,1017.4,31.3,110,1.6
16.0,90.047,False,0.0,18.052,38.838,33.157,284.0,297.0,209.0,306.0,89.412,MEDIUM,16.0,1,5.0,20.661,0,26.7,52.0,1017.4,31.3,112,2.2
17.0,89.909,False,0.0,17.979,38.793,33.137,285.0,296.0,210.0,308.0,89.412,MEDIUM,17.0,1,5.0,21.615,0,26.6,52.0,1017.5,31.2,122,1.1
18.0,89.826,False,0.0,18.028,38.64,33.158,284.0,296.0,209.0,305.0,89.412,MEDIUM,18.0,1,5.0,22.219,0,26.7,52.0,1017.4,31.3,129,1.0
19.0,90.076,False,0.0,18.077,38.705,33.294,285.0,295.0,209.0,305.0,89.412,MEDIUM,19.0,1,5.0,23.156,0,26.6,52.0,1017.5,31.4,107,1.1
20.0,90.004,False,0.0,18.006,38.823,33.175,287.0,295.0,208.0,307.0,89.412,MEDIUM,20.0,1,5.0,23.947,0,26.7,52.0,1017.5,31.3,226,1.3
21.0,89.695,False,0.0,17.975,38.588,33.132,,298.0,209.0,310.0,89.412,MEDIUM,21.0,1,4.0,24.509,0,26.6,53.0,1017.5,31.3,117,1.1
22.0,89.889,False,0.0,18.023,38.754,33.112,285.0,297.0,208.0,307.0,89.412,MEDIUM,22.0,1,4.0,25.209,0,26.6,53.0,1017.5,31.0,108,2.2
23.0,89.939,False,0.0,17.972,38.798,33.169,286.0,297.0,210.0,308.0,89.412,MEDIUM,23.0,1,4.0,25.886,0,26.6,53.0,1017.5,31.1,106,1.6
24.0,89.75,False,0.0,17.969,38.653,33.128,285.0,298.0,208.0,309.0,89.412,MEDIUM,24.0,1,4.0,26.152,0,26.5,53.0,1017.6,31.1,104,1.8
25.0,89.852,False,0.0,17.97,38.656,33.226,287.0,298.0,209.0,306.0,89.412,MEDIUM,25.0,1,4.0,26.794,0,26.5,54.0,1017.6,30.9,110,1.0
26.0,90.268,False,0.0,17.964,38.827,33.477,286.0,297.0,209.0,310.0,89.412,MEDIUM,26.0,1,4.0,25.495,0,26.5,54.0,1017.5,30.9,110,1.3
27.0,89.897,False,0.0,17.942,38.858,33.097,,298.0,209.0,310.0,89.412,MEDIUM,27.0,1,3.0,7.879,0,26.4,55.0,1017.7,30.8,122,1.7
28.0,90.274,False,0.0,17.994,39.156,33.124,,296.0,208.0,308.0,89.412,MEDIUM,28.0,1,3.0,9.828,0,26.4,55.0,1017.7,30.7,112,1.2
29.0,91.857,True,32.739,17.92,38.668,35.269,287.0,298.0,,307.0,89.412,MEDIUM,29.0,1,3.0,13.246,0,26.4,55.0,1017.6,30.8,118,1.7
30.0,119.495,False,0.0,49.136,38.137,32.222,288.0,297.0,214.0,309.0,89.412,HARD,1.0,1,11.0,44.506,0,26.4,56.0,1017.6,30.6,111,2.1
31.0,88.088,False,0.0,17.867,37.731,32.49,,296.0,212.0,325.0,88.088,HARD,2.0,1,10.0,44.232,0,26.4,56.0,1017.7,30.5,103,1.8
32.0,88.528,False,0.0,17.891,38.182,32.455,285.0,296.0,214.0,306.0,88.088,HARD,3.0,1,10.0,44.346,0,26.4,56.0,1017.6,30.5,111,2.6
33.0,88.333,False,0.0,17.735,38.162,32.436,291.0,300.0,212.0,311.0,88.088,HARD,4.0,1,9.0,44.553,0,26.3,57.0,1017.7,30.6,141,1.8
34.0,88.409,False,0.0,17.725,38.227,32.457,289.0,300.0,211.0,311.0,88.088,HARD,5.0,1,9.0,44.854,0,26.3,57.0,1017.7,30.4,145,1.2
35.0,89.111,False,0.0,17.662,37.912,33.537,290.0,314.0,210.0,314.0,88.088,HARD,6.0,1,9.0,45.991,0,26.3,57.0,1017.8,30.4,106,2.4
36.0,88.557,False,0.0,18.023,37.998,32.536,291.0,297.0,210.0,330.0,88.088,HARD,7.0,1,8.0,46.673,0,26.3,57.0,1017.8,30.3,132,1.7
37.0,88.413,False,0.0,17.714,38.254,32.445,289.0,300.0,212.0,311.0,88.088,HARD,8.0,1,8.0,47.01,0,26.3,58.0,1017.7,30.3,109,2.1
38.0,88.36,False,0.0,17.67,38.204,32.486,287.0,297.0,211.0,309.0,88.088,HARD,9.0,1,8.0,47.463,0,26.2,58.0,1017.7,30.4,98,1.7
39.0,88.296,False,0.0,17.724,38.101,32.471,,296.0,213.0,309.0,88.088,HARD,10.0,1,8.0,47.999,0,26.2,58.0,1017.8,30.2,104,3.3
40.0,88.345,False,0.0,17.675,38.155,32.515,289.0,297.0,212.0,310.0,88.088,HARD,11.0,6,8.0,48.637,0,26.1,58.0,1017.8,30.2,107,2.3
41.0,88.439,False,0.0,17.698,38.222,32.519,290.0,298.0,212.0,308.0,88.088,HARD,12.0,7,8.0,49.219,0,26.2,58.0,1017.8,30.2,94,0.8
42.0,88.113,False,0.0,17.576,38.066,32.471,291.0,302.0,212.0,311.0,88.088,HARD,13.0,1,8.0,49.17,0,26.1,58.0,1017.7,30.0,117,1.9
43.0,88.089,False,0.0,17.685,37.847,32.557,292.0,296.0,212.0,333.0,88.088,HARD,14.0,1,7.0,49.257,0,26.1,58.0,1017.8,30.1,196,1.7
44.0,88.501,False,0.0,17.655,38.235,32.611,291.0,298.0,212.0,310.0,88.088,HARD,15.0,1,7.0,49.796,0,26.1,58.0,1017.8,30.1,116,1.5
45.0,88.067,False,0.0,17.648,37.861,32.558,292.0,325.0,214.0,333.0,88.067,HARD,16.0,1,6.0,49.808,0,26.1,58.0,1017.7,30.0,115,3.2
46.0,88.231,False,0.0,17.595,38.288,32.348,288.0,296.0,212.0,307.0,88.067,HARD,17.0,1,6.0,49.961,0,26.0,58.0,1017.8,29.8,113,3.0
47.0,88.304,False,0.0,17.635,38.232,32.437,290.0,297.0,212.0,308.0,88.067,HARD,18.0,1,6.0,50.028,0,26.0,59.0,1017.8,29.7,111,1.6
48.0,87.893,False,0.0,17.65,38.031,32.212,291.0,315.0,214.0,310.0,87.893,HARD,19.0,1,6.0,49.716,0,26.0,59.0,1017.9,29.7,0,2.5
49.0,87.927,False,0.0,17.56,38.215,32.152,290.0,295.0,213.0,307.0,87.893,HARD,20.0,1,6.0,49.272,0,26.0,59.0,1017.9,29.5,74,2.1
50.0,87.961,False,0.0,17.569,38.245,32.147,289.0,294.0,214.0,307.0,87.893,HARD,21.0,1,6.0,49.105,0,26.0,59.0,1017.9,29.6,109,2.1
51.0,87.82,False,0.0,17.543,38.151,32.126,,294.0,212.0,307.0,87.82,HARD,22.0,1,6.0,49.058,0,26.0,59.0,1017.9,29.4,142,2.0
52.0,88.047,False,0.0,17.592,38.194,32.261,,292.0,213.0,305.0,87.82,HARD,23.0,1,6.0,49.667,0,25.9,59.0,1017.9,29.4,82,3.0
53.0,88.064,False,0.0,17.553,38.239,32.272,295.0,296.0,211.0,312.0,87.82,HARD,24.0,1,6.0,50.211,0,25.9,59.0,1018.0,29.4,113,2.7
54.0,88.352,False,0.0,17.701,38.164,32.487,294.0,299.0,213.0,312.0,87.82,HARD,25.0,1,6.0,50.439,0,25.9,60.0,1017.8,29.3,109,2.0
55.0,87.821,False,0.0,17.648,37.893,32.28,,313.0,214.0,310.0,87.82,HARD,26.0,1,6.0,50.613,0,25.9,60.0,1017.9,29.3,117,3.2
56.0,87.765,False,0.0,17.571,38.063,32.131,,299.0,213.0,312.0,87.765,HARD,27.0,1,6.0,50.68,0,25.9,60.0,1018.0,29.4,110,2.1
57.0,88.174,False,0.0,17.565,38.204,32.405,291.0,296.0,212.0,310.0,87.765,HARD,28.0,1,6.0,50.925,0,25.9,60.0,1018.0,29.4,104,2.4
58.0,88.78,False,0.0,17.676,38.262,32.842,292.0,299.0,212.0,310.0,87.765,HARD,29.0,1,6.0,49.847,0,25.9,60.0,1018.0,29.3,122,2.6
