LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,,False,0.0,,37.975,25.708,298.0,256.0,244.0,290.0,,MEDIUM,1.0,,4.0,,0,16.2,63.0,992.0,33.0,215,1.6
2.0,91.773,False,0.0,29.612,37.222,24.939,311.0,260.0,244.0,316.0,91.773,MEDIUM,2.0,,3.0,,0,16.3,62.0,991.9,33.0,235,2.0
3.0,92.2,False,0.0,29.672,37.216,25.312,293.0,256.0,245.0,294.0,91.773,MEDIUM,3.0,,3.0,,0,16.3,61.0,992.0,24.3,237,1.9
4.0,91.933,False,0.0,29.626,37.09,25.217,295.0,256.0,244.0,296.0,91.773,MEDIUM,4.0,,3.0,,0,16.2,60.0,992.0,24.0,243,2.2
5.0,91.778,False,0.0,29.608,37.007,25.163,293.0,257.0,245.0,297.0,91.773,MEDIUM,5.0,,3.0,,0,16.3,60.0,991.9,24.2,209,2.4
6.0,91.711,False,0.0,29.471,37.07,25.17,294.0,257.0,245.0,295.0,91.711,MEDIUM,6.0,1,3.0,,0,16.3,61.0,992.0,25.4,251,2.1
7.0,91.935,False,0.0,29.586,37.024,25.325,292.0,258.0,245.0,294.0,91.711,MEDIUM,7.0,1,3.0,,0,16.4,60.0,992.0,25.8,241,2.4
8.0,92.038,False,0.0,29.655,37.087,25.296,296.0,256.0,245.0,296.0,91.711,MEDIUM,8.0,1,3.0,,0,16.5,61.0,992.0,26.1,320,2.0
9.0,91.883,False,0.0,29.639,36.978,25.266,292.0,257.0,245.0,294.0,91.711,MEDIUM,9.0,1,3.0,,0,16.8,61.0,992.0,25.7,208,1.5
10.0,91.661,False,0.0,29.557,36.884,25.22,296.0,257.0,246.0,297.0,91.661,MEDIUM,10.0,1,3.0,,0,16.8,62.0,991.9,25.6,231,1.7
11.0,91.81,False,0.0,29.524,37.06,25.226,294.0,257.0,246.0,295.0,91.661,MEDIUM,11.0,1,3.0,,0,16.7,59.0,991.9,25.3,234,2.1
12.0,91.894,False,0.0,29.529,37.046,25.319,,257.0,246.0,295.0,91.661,MEDIUM,12.0,1,3.0,,0,16.7,61.0,991.8,25.2,205,2.1
13.0,91.759,False,0.0,29.562,37.021,25.176,293.0,257.0,246.0,298.0,91.661,MEDIUM,13.0,1,3.0,,0,16.6,59.0,991.9,24.8,211,2.1
14.0,91.7,False,0.0,29.517,37.027,25.156,,256.0,246.0,302.0,91.661,MEDIUM,14.0,1,3.0,,0,16.5,60.0,991.9,24.6,243,1.2
15.0,92.249,False,0.0,29.622,36.874,25.753,292.0,257.0,246.0,302.0,91.661,MEDIUM,15.0,1,4.0,,0,16.5,59.0,991.9,24.4,242,1.4
16.0,92.504,False,0.0,29.493,37.097,25.914,310.0,258.0,246.0,292.0,91.661,MEDIUM,16.0,1,4.0,,0,16.5,60.0,991.9,24.3,266,1.4
17.0,95.359,False,0.0,29.826999999999998,37.281,28.251,286.0,255.0,242.0,290.0,91.661,MEDIUM,17.0,1,5.0,,0,16.5,61.0,992.1,24.3,276,1.5
18.0,96.172,False,0.0,30.085,37.891,28.196,307.0,253.0,217.0,294.0,91.661,MEDIUM,18.0,1,5.0,,0,16.6,60.0,992.1,23.9,59,1.6
19.0,102.485,False,0.0,33.582,40.925,27.978,291.0,236.0,231.0,292.0,91.661,MEDIUM,19.0,1,5.0,,0,16.2,64.0,992.1,22.9,335,1.5
20.0,97.108,False,0.0,31.872,39.086,26.15,,249.0,242.0,296.0,91.661,MEDIUM,20.0,1,5.0,,0,15.9,67.0,992.1,22.3,299,1.6
21.0,93.488,False,0.0,30.031,37.975,25.482,293.0,254.0,247.0,295.0,91.661,MEDIUM,21.0,1,5.0,,0,15.6,69.0,992.2,22.1,229,1.6
22.0,91.904,False,0.0,29.61,37.027,25.267,291.0,257.0,247.0,294.0,91.661,MEDIUM,22.0,1,5.0,,0,15.2,68.0,992.1,22.0,266,0.7
23.0,92.143,False,0.0,29.632,37.148,25.363,290.0,256.0,246.0,297.0,91.661,MEDIUM,23.0,1,5.0,,0,15.2,69.0,992.2,22.0,222,1.2
24.0,93.02,False,0.0,29.699,37.341,25.98,287.0,256.0,244.0,296.0,91.661,MEDIUM,24.0,1,5.0,,0,15.1,68.0,992.2,22.0,251,0.8
25.0,96.063,False,0.0,29.999,38.958,27.106,294.0,255.0,228.0,297.0,91.661,MEDIUM,25.0,1,5.0,,0,15.1,67.0,992.3,22.0,225,1.0
26.0,101.491,True,28.466,30.72,43.858,26.913,,247.0,,295.0,91.661,MEDIUM,26.0,1,5.0,,0,15.1,68.0,992.2,21.5,116,0.9
27.0,119.169,False,0.0,51.084,40.561,27.524,285.0,250.0,228.0,289.0,91.661,INTERMEDIATE,1.0,1,5.0,,0,15.1,68.0,992.3,21.2,267,0.6
28.0,101.176,False,0.0,31.767,41.184,28.225,289.0,245.0,224.0,296.0,91.661,INTERMEDIATE,2.0,1,4.0,,0,15.0,69.0,992.4,21.0,236,0.9
29.0,101.533,False,0.0,31.943,41.241,28.349,290.0,243.0,220.0,295.0,91.661,INTERMEDIATE,3.0,1,3.0,,0,14.9,70.0,992.5,20.7,240,0.9
30.0,102.098,False,0.0,32.368,41.071,28.659,288.0,240.0,219.0,290.0,91.661,INTERMEDIATE,4.0,1,3.0,,0,14.9,72.0,992.4,20.7,224,1.0
31.0,102.025,False,0.0,32.091,41.086,28.848,,240.0,218.0,291.0,91.661,INTERMEDIATE,5.0,1,3.0,,0,14.7,73.0,992.5,20.7,240,1.4
32.0,102.538,False,0.0,32.47,41.197,28.871,287.0,241.0,217.0,292.0,91.661,INTERMEDIATE,6.0,1,3.0,,0,14.5,73.0,992.5,20.7,235,1.6
33.0,102.606,False,0.0,32.275,41.381,28.95,288.0,239.0,219.0,292.0,91.661,INTERMEDIATE,7.0,1,3.0,,0,14.5,74.0,992.5,20.7,224,1.4
34.0,102.447,False,0.0,32.316,41.542,28.589,291.0,240.0,219.0,295.0,91.661,INTERMEDIATE,8.0,1,3.0,,0,14.6,76.0,992.6,21.2,221,1.6
35.0,103.029,False,0.0,32.556,42.058,28.415,292.0,243.0,223.0,295.0,91.661,INTERMEDIATE,9.0,1,3.0,,0,14.5,75.0,992.6,21.2,253,1.4
36.0,101.958,False,0.0,32.172,42.007,27.779,293.0,240.0,234.0,294.0,91.661,INTERMEDIATE,10.0,1,3.0,,0,14.5,76.0,992.5,21.4,232,1.2
37.0,98.869,False,0.0,31.547,40.385,26.937,292.0,246.0,242.0,295.0,91.661,INTERMEDIATE,11.0,1,3.0,,0,14.6,78.0,992.5,22.5,201,1.3
38.0,95.963,True,29.156,30.903,39.254,25.806,296.0,250.0,,298.0,91.661,INTERMEDIATE,12.0,1,3.0,,0,14.6,76.0,992.6,24.2,237,1.9
39.0,118.311,False,0.0,53.747,38.012,26.552,292.0,259.0,249.0,299.0,91.661,HARD,1.0,1,4.0,,0,14.8,75.0,992.4,24.6,265,1.2
40.0,90.056,False,0.0,28.866,36.203,24.987,293.0,263.0,250.0,298.0,90.056,HARD,2.0,1,3.0,,0,15.1,74.0,992.6,24.4,196,0.8
41.0,89.604,False,0.0,28.789,35.955,24.86,289.0,262.0,251.0,292.0,89.604,HARD,3.0,1,3.0,,0,15.3,76.0,992.5,24.2,216,1.1
42.0,89.472,False,0.0,28.913,35.869,24.69,287.0,263.0,250.0,295.0,89.472,HARD,4.0,1,3.0,,0,15.3,75.0,992.4,24.7,233,0.8
43.0,89.105,False,0.0,28.984,35.655,24.466,290.0,265.0,252.0,294.0,89.105,HARD,5.0,1,3.0,,0,15.3,75.0,992.5,24.9,240,1.6
44.0,89.372,False,0.0,28.97,35.867,24.535,294.0,263.0,250.0,294.0,89.105,HARD,6.0,1,3.0,,0,15.4,72.0,992.5,24.5,215,2.0
45.0,89.137,False,0.0,29.056,35.591,24.49,,265.0,251.0,296.0,89.105,HARD,7.0,1,3.0,,0,15.5,73.0,992.5,25.0,243,2.0
46.0,89.543,False,0.0,29.141,35.901,24.501,,264.0,251.0,297.0,89.105,HARD,8.0,1,3.0,,0,15.5,71.0,992.6,25.0,246,2.0
47.0,89.411,False,0.0,28.989,35.905,24.517,,264.0,252.0,298.0,89.105,HARD,9.0,1,3.0,,0,15.6,71.0,992.5,24.9,238,1.1
48.0,88.952,False,0.0,28.807,36.166,23.979,316.0,266.0,250.0,327.0,88.952,HARD,10.0,1,2.0,,0,15.7,71.0,992.5,25.2,232,1.2
49.0,89.56,False,0.0,29.166,35.949,24.445,293.0,263.0,253.0,292.0,88.952,HARD,11.0,1,2.0,,0,15.8,69.0,992.4,25.2,222,1.8
50.0,89.286,False,0.0,29.084,35.787,24.415,295.0,265.0,252.0,290.0,88.952,HARD,12.0,1,2.0,,0,15.8,69.0,992.5,25.4,219,1.7
51.0,89.443,False,0.0,29.097,35.888,24.458,292.0,264.0,252.0,289.0,88.952,HARD,13.0,1,2.0,,0,15.9,68.0,992.4,25.3,258,1.2
52.0,89.089,False,0.0,29.149,35.714,24.226,298.0,266.0,251.0,306.0,88.952,HARD,14.0,1,2.0,,0,15.8,69.0,992.5,25.2,241,0.7
