LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,,False,0.0,,29.65,43.295,276.0,268.0,254.0,304.0,,MEDIUM,1.0,2,1.0,,0,18.8,66.0,1011.5,31.1,114,1.5
2.0,100.103,False,0.0,26.651,30.091,43.361,267.0,261.0,254.0,308.0,100.103,MEDIUM,2.0,2,1.0,,0,18.7,66.0,1011.5,31.3,175,1.1
3.0,100.494,False,0.0,27.011,30.19,43.293,269.0,263.0,254.0,307.0,100.103,MEDIUM,3.0,2,1.0,,0,18.8,65.0,1011.5,30.4,0,1.0
4.0,100.573,False,0.0,26.923000000000002,30.187,43.463,271.0,259.0,254.0,307.0,100.103,MEDIUM,4.0,1,1.0,,0,18.9,65.0,1011.4,30.6,126,2.4
5.0,100.919,False,0.0,27.106,30.299,43.514,272.0,260.0,254.0,307.0,100.103,MEDIUM,5.0,1,1.0,,0,19.0,65.0,1011.5,30.5,152,3.2
6.0,101.147,False,0.0,27.114,30.431,43.602,,262.0,254.0,308.0,100.103,MEDIUM,6.0,1,1.0,,0,19.0,66.0,1011.3,30.7,138,1.6
7.0,101.118,False,0.0,27.164,30.362,43.592,,265.0,255.0,309.0,100.103,MEDIUM,7.0,1,1.0,,0,19.0,66.0,1011.4,30.7,327,1.0
8.0,101.11,False,0.0,27.129,30.395,43.586,271.0,263.0,255.0,309.0,100.103,MEDIUM,8.0,1,1.0,,0,19.0,65.0,1011.4,30.7,249,1.8
9.0,101.155,False,0.0,27.111,30.392,43.652,272.0,265.0,255.0,308.0,100.103,MEDIUM,9.0,1,1.0,,0,19.0,65.0,1011.5,30.7,136,2.3
10.0,101.424,False,0.0,27.172,30.519,43.733,,263.0,255.0,308.0,100.103,MEDIUM,10.0,1,1.0,,0,19.0,65.0,1011.5,30.6,144,2.3
11.0,101.401,False,0.0,27.17,30.646,43.585,271.0,263.0,255.0,308.0,100.103,MEDIUM,11.0,1,1.0,,0,18.9,65.0,1011.3,30.2,126,3.2
12.0,101.318,False,0.0,27.121,30.558,43.639,272.0,262.0,255.0,308.0,100.103,MEDIUM,12.0,1,1.0,,0,18.9,66.0,1011.3,30.2,141,2.5
13.0,106.526,True,22.572,27.05,30.576,48.9,273.0,264.0,,310.0,100.103,MEDIUM,13.0,1,1.0,,0,18.8,66.0,1011.4,30.5,220,1.2
14.0,119.074,False,0.0,45.631,30.099,43.344,268.0,266.0,254.0,332.0,100.103,HARD,1.0,1,3.0,,0,18.9,66.0,1011.4,30.3,180,1.5
15.0,99.591,False,0.0,26.64,29.773,43.178,269.0,265.0,261.0,316.0,99.591,HARD,2.0,1,3.0,,0,18.8,66.0,1011.3,30.1,145,1.0
16.0,99.985,False,0.0,26.616,30.137,43.232,277.0,262.0,255.0,310.0,99.591,HARD,3.0,1,2.0,,0,18.8,65.0,1011.3,30.1,180,2.7
17.0,99.519,False,0.0,26.503,29.874,43.142,272.0,262.0,256.0,311.0,99.519,HARD,4.0,1,2.0,,0,18.6,66.0,1011.2,29.8,246,2.5
18.0,100.07,False,0.0,26.781,30.075,43.214,266.0,260.0,256.0,312.0,99.519,HARD,5.0,1,2.0,,0,18.6,66.0,1011.3,29.7,135,1.6
19.0,100.139,False,0.0,26.72,30.245,43.174,,262.0,257.0,333.0,99.519,HARD,6.0,1,1.0,,0,18.6,67.0,1011.3,29.9,127,2.5
20.0,100.081,False,0.0,26.759,29.937,43.385,267.0,264.0,256.0,309.0,99.519,HARD,7.0,1,1.0,,0,18.6,67.0,1011.2,29.9,142,3.2
21.0,100.49,False,0.0,26.737,30.083,43.67,269.0,241.0,256.0,308.0,99.519,HARD,8.0,1,1.0,,0,18.7,66.0,1011.2,29.6,122,3.5
22.0,134.296,False,0.0,35.865,40.703,57.728,172.0,174.0,142.0,256.0,99.519,HARD,9.0,1,1.0,,0,18.6,66.0,1011.4,29.5,133,3.4
23.0,137.938,True,22.223,35.57,39.478,62.89,144.0,241.0,,212.0,99.519,HARD,10.0,1,1.0,,0,18.6,66.0,1011.3,29.4,144,2.5
24.0,,False,0.0,54.357,47.051,64.876,139.0,126.0,219.0,144.0,99.519,HARD,1.0,1,1.0,,0,18.6,67.0,1011.3,29.7,145,1.0
25.0,145.05,False,0.0,38.16,46.49,60.4,207.0,133.0,215.0,271.0,99.519,HARD,2.0,1,1.0,,0,18.6,66.0,1011.3,29.4,104,2.0
26.0,,False,0.0,35.833,43.649,77.86,226.0,223.0,257.0,126.0,99.519,HARD,3.0,1,1.0,,0,18.7,66.0,1011.3,29.6,130,2.8
27.0,107.123,False,0.0,26.034,29.474,51.615,275.0,263.0,163.0,309.0,99.519,HARD,4.0,1,1.0,,0,18.6,66.0,1011.3,29.2,128,2.6
28.0,,False,0.0,34.861,50.842,65.746,172.0,226.0,119.0,153.0,99.519,HARD,5.0,1,1.0,,0,18.6,66.0,1011.3,29.2,83,1.5
29.0,146.57,False,0.0,39.616,44.166,62.788,220.0,183.0,215.0,190.0,99.519,HARD,6.0,1,1.0,,0,18.6,67.0,1011.5,29.2,120,1.7
30.0,140.118,False,0.0,36.62,44.106,59.392,208.0,190.0,219.0,274.0,99.519,HARD,7.0,1,1.0,,0,18.5,67.0,1011.5,29.1,128,1.7
31.0,148.77,False,0.0,35.883,44.116,68.771,230.0,192.0,256.0,135.0,99.519,HARD,8.0,1,1.0,,0,18.5,67.0,1011.6,29.1,152,2.5
32.0,98.604,False,0.0,26.06,29.829,42.715,275.0,268.0,257.0,309.0,98.604,HARD,9.0,1,1.0,,0,18.5,66.0,1011.5,28.8,227,1.8
