LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,105.917,False,0.0,,34.022,37.425,173.0,204.0,320.0,269.0,105.917,MEDIUM,1.0,2,5.0,2.65,0,18.0,51.0,935.8,18.0,297,2.7
2.0,99.861,False,0.0,29.082,33.747,37.032,177.0,205.0,323.0,276.0,99.861,MEDIUM,2.0,2,5.0,3.434,0,18.0,50.0,935.9,18.2,138,2.1
3.0,99.345,False,0.0,28.787,33.51,37.048,176.0,205.0,320.0,278.0,99.345,MEDIUM,3.0,2,5.0,3.915,0,18.0,50.0,935.9,17.9,216,2.2
4.0,98.713,False,0.0,28.534,33.227,36.952,177.0,205.0,312.0,298.0,98.713,MEDIUM,4.0,1,4.0,3.88,0,18.0,50.0,936.0,17.9,243,2.7
5.0,98.472,False,0.0,28.26,32.914,37.298,,204.0,317.0,288.0,98.472,MEDIUM,5.0,1,4.0,4.216,0,18.0,51.0,935.9,17.7,245,3.3
6.0,98.661,False,0.0,28.399,33.201,37.061,173.0,205.0,320.0,299.0,98.472,MEDIUM,6.0,1,4.0,4.547,0,17.9,50.0,935.7,17.7,241,3.1
7.0,98.906,False,0.0,28.416,33.306,37.184,177.0,204.0,322.0,298.0,98.472,MEDIUM,7.0,1,4.0,4.955,0,17.9,50.0,935.9,17.7,208,2.7
8.0,99.047,False,0.0,28.37,33.78,36.897,171.0,204.0,314.0,298.0,98.472,MEDIUM,8.0,1,3.0,5.649,0,17.9,50.0,936.0,17.6,242,3.9
9.0,99.79,False,0.0,28.592,33.765,37.433,174.0,204.0,313.0,293.0,98.472,MEDIUM,9.0,1,3.0,6.688,0,17.9,50.0,935.9,17.6,244,2.2
10.0,100.064,False,0.0,28.569,34.393,37.102,171.0,201.0,309.0,325.0,98.472,MEDIUM,10.0,1,2.0,8.071,0,17.9,50.0,936.0,17.7,261,2.0
11.0,104.351,True,20.77,28.87,33.837,41.644,168.0,205.0,,300.0,98.472,MEDIUM,11.0,1,2.0,13.733,0,17.8,51.0,936.0,17.6,254,1.8
12.0,115.018,False,0.0,44.055,34.04,36.923,174.0,205.0,316.0,314.0,98.472,HARD,1.0,1,5.0,25.229,0,17.9,50.0,936.0,17.5,132,2.4
13.0,98.307,False,0.0,28.313,32.988,37.006,177.0,206.0,317.0,299.0,98.307,HARD,2.0,1,5.0,9.157,0,17.8,50.0,936.0,17.5,244,3.0
14.0,98.376,False,0.0,28.388,33.08,36.908,178.0,207.0,319.0,299.0,98.307,HARD,3.0,1,3.0,8.862,0,17.8,50.0,936.1,17.5,257,2.5
15.0,98.648,False,0.0,28.255,33.435,36.958,177.0,205.0,318.0,295.0,98.307,HARD,4.0,1,2.0,9.179,0,17.7,50.0,936.1,17.5,233,2.6
16.0,98.563,False,0.0,28.206,33.255,37.102,175.0,207.0,318.0,308.0,98.307,HARD,5.0,1,2.0,9.829,0,17.7,50.0,936.0,17.4,273,3.9
17.0,98.055,False,0.0,27.967,33.041,37.047,177.0,206.0,321.0,306.0,98.055,HARD,6.0,1,2.0,10.015,0,17.7,50.0,936.2,17.4,227,3.2
18.0,97.956,False,0.0,28.03,32.803,37.123,178.0,206.0,317.0,304.0,97.956,HARD,7.0,1,2.0,10.007,0,17.7,50.0,936.2,17.3,255,2.1
19.0,97.678,False,0.0,28.04,32.763,36.875,179.0,208.0,318.0,305.0,97.678,HARD,8.0,1,2.0,9.682,0,17.6,50.0,936.0,17.3,243,3.1
20.0,97.846,False,0.0,27.906,32.981,36.959,,207.0,319.0,306.0,97.678,HARD,9.0,1,2.0,9.795,0,17.7,49.0,936.0,17.5,251,2.1
21.0,97.59,False,0.0,27.902,32.732,36.956,180.0,208.0,319.0,311.0,97.59,HARD,10.0,1,2.0,10.026,0,17.6,49.0,936.1,17.4,243,3.4
22.0,97.679,False,0.0,27.902,32.843,36.934,177.0,207.0,318.0,311.0,97.59,HARD,11.0,1,2.0,10.149,0,17.6,49.0,936.0,17.2,242,2.4
23.0,97.524,False,0.0,27.885,32.798,36.841,180.0,207.0,317.0,314.0,97.524,HARD,12.0,1,2.0,9.943,0,17.6,48.0,936.1,17.3,227,3.1
24.0,97.695,False,0.0,27.859,32.862,36.974,179.0,208.0,316.0,313.0,97.524,HARD,13.0,1,2.0,10.062,0,17.6,49.0,935.9,17.2,246,3.4
25.0,98.038,False,0.0,28.019,32.968,37.051,181.0,206.0,317.0,302.0,97.524,HARD,14.0,1,2.0,10.376,0,17.6,48.0,936.0,17.2,219,3.3
26.0,98.362,False,0.0,28.083,33.165,37.114,178.0,207.0,315.0,308.0,97.524,HARD,15.0,1,2.0,11.271,0,17.6,48.0,936.0,17.1,262,3.3
27.0,103.108,True,22.289,28.206,33.54,41.362,,208.0,,305.0,97.524,HARD,16.0,1,3.0,16.77,0,17.6,48.0,936.0,17.2,247,2.5
28.0,114.746,False,0.0,44.89,32.986,36.87,169.0,209.0,319.0,302.0,97.524,HARD,1.0,1,5.0,33.62,0,17.5,46.0,936.1,17.1,238,3.0
29.0,97.386,False,0.0,27.921,32.573,36.892,181.0,209.0,317.0,303.0,97.386,HARD,2.0,1,4.0,33.45,0,17.5,47.0,936.1,17.0,214,4.1
30.0,97.549,False,0.0,28.033,32.597,36.919,,209.0,317.0,304.0,97.386,HARD,3.0,1,3.0,33.455,0,17.5,46.0,936.0,17.1,222,3.4
31.0,97.996,False,0.0,27.861,32.81,37.325,180.0,210.0,322.0,277.0,97.386,HARD,4.0,1,4.0,33.65,0,17.5,46.0,936.0,17.1,216,4.5
32.0,97.714,False,0.0,27.956,32.878,36.88,,207.0,320.0,304.0,97.386,HARD,5.0,1,3.0,29.135,0,17.5,46.0,936.3,17.0,231,3.2
33.0,97.579,False,0.0,27.946,32.971,36.662,179.0,209.0,320.0,309.0,97.386,HARD,6.0,1,3.0,13.011,0,17.4,45.0,936.0,17.0,243,3.5
34.0,97.484,False,0.0,27.885,32.85,36.749,180.0,210.0,319.0,308.0,97.386,HARD,7.0,1,3.0,12.874,0,17.3,45.0,936.1,17.0,216,1.7
35.0,97.243,False,0.0,27.87,32.72,36.653,177.0,209.0,318.0,305.0,97.243,HARD,8.0,1,3.0,12.871,0,17.4,44.0,936.1,17.0,258,3.0
36.0,97.001,False,0.0,27.769,32.715,36.517,179.0,210.0,318.0,306.0,97.001,HARD,9.0,1,3.0,12.850999999999999,0,17.3,44.0,936.0,16.9,265,4.4
37.0,96.72,False,0.0,27.711,32.599,36.41,178.0,211.0,320.0,310.0,96.72,HARD,10.0,1,3.0,12.727,0,17.4,44.0,936.2,17.0,232,5.2
38.0,96.979,False,0.0,27.736,32.713,36.53,179.0,211.0,319.0,314.0,96.72,HARD,11.0,1,3.0,13.299,0,17.3,43.0,936.0,16.9,246,4.0
39.0,96.344,False,0.0,27.506,32.354,36.484,181.0,211.0,319.0,312.0,96.344,HARD,12.0,1,3.0,13.368,0,17.3,43.0,936.0,16.8,207,4.3
40.0,96.495,False,0.0,27.546,32.278,36.671,184.0,212.0,317.0,308.0,96.344,HARD,13.0,1,3.0,13.505,0,17.3,43.0,936.0,16.9,237,3.4
41.0,97.522,False,0.0,27.908,32.364,37.25,175.0,212.0,323.0,313.0,96.344,HARD,14.0,1,4.0,14.468,0,17.2,43.0,935.9,16.8,240,3.2
42.0,96.489,False,0.0,27.727,32.492,36.27,182.0,212.0,320.0,304.0,96.344,HARD,15.0,1,4.0,14.613,0,17.3,43.0,936.0,16.8,231,2.9
43.0,96.248,False,0.0,27.492,32.53,36.226,181.0,211.0,320.0,314.0,96.248,HARD,16.0,1,4.0,14.91,0,17.2,43.0,936.1,16.8,245,3.8
