LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,94.338,False,0.0,,34.99,26.211,213.0,184.0,271.0,305.0,94.338,MEDIUM,1.0,1,1.0,0.0,0,28.5,57.0,1016.4,45.9,148,2.9
2.0,93.093,False,0.0,31.455,35.489,26.149,209.0,183.0,272.0,303.0,93.093,MEDIUM,2.0,1,1.0,0.0,0,28.6,57.0,1016.3,43.5,153,3.5
3.0,93.137,False,0.0,31.551,35.472,26.114,211.0,183.0,272.0,309.0,93.093,MEDIUM,3.0,1,1.0,0.0,0,28.6,58.0,1016.3,42.3,150,2.5
4.0,93.504,False,0.0,31.508,35.686,26.31,208.0,181.0,273.0,309.0,93.093,MEDIUM,4.0,1,1.0,0.0,0,28.7,58.0,1016.3,45.4,140,3.0
5.0,92.834,False,0.0,31.318,35.41,26.106,210.0,183.0,274.0,306.0,92.834,MEDIUM,5.0,1,1.0,0.0,0,28.9,57.0,1016.3,45.5,148,3.0
6.0,92.939,False,0.0,31.528,35.395,26.016,209.0,183.0,273.0,308.0,92.834,MEDIUM,6.0,1,1.0,0.0,0,28.9,57.0,1016.3,45.5,173,3.4
7.0,92.895,False,0.0,31.547,35.239,26.109,210.0,183.0,272.0,309.0,92.834,MEDIUM,7.0,1,1.0,0.0,0,29.0,58.0,1016.3,46.4,148,3.5
8.0,92.838,False,0.0,31.563,35.266,26.009,211.0,183.0,272.0,311.0,92.834,MEDIUM,8.0,1,1.0,0.0,0,28.9,58.0,1016.4,46.8,174,2.4
9.0,93.289,False,0.0,31.903,35.254,26.132,207.0,183.0,272.0,309.0,92.834,MEDIUM,9.0,1,1.0,0.0,0,29.0,58.0,1016.3,46.5,180,3.9
10.0,93.267,False,0.0,31.73,35.448,26.089,208.0,183.0,273.0,311.0,92.834,MEDIUM,10.0,1,1.0,0.0,0,28.8,59.0,1016.2,44.7,155,3.6
11.0,93.501,False,0.0,31.72,35.573,26.208,210.0,183.0,273.0,301.0,92.834,MEDIUM,11.0,1,1.0,0.0,0,28.9,60.0,1016.3,44.7,160,4.4
12.0,93.097,False,0.0,31.605,35.354,26.138,211.0,183.0,272.0,309.0,92.834,MEDIUM,12.0,1,1.0,0.0,0,28.7,61.0,1016.3,45.1,142,3.4
13.0,93.129,False,0.0,31.578,35.441,26.11,210.0,183.0,272.0,310.0,92.834,MEDIUM,13.0,1,1.0,0.0,0,28.8,59.0,1016.4,45.2,146,3.7
14.0,92.918,False,0.0,31.442,35.397,26.079,,183.0,274.0,310.0,92.834,MEDIUM,14.0,1,1.0,0.0,0,28.8,60.0,1016.3,45.5,170,3.4
15.0,92.807,False,0.0,31.402,35.279,26.126,209.0,183.0,273.0,311.0,92.807,MEDIUM,15.0,1,1.0,0.0,0,28.8,60.0,1016.4,46.1,165,3.6
16.0,92.749,False,0.0,31.413,35.262,26.074,210.0,184.0,273.0,309.0,92.749,MEDIUM,16.0,1,1.0,0.0,0,28.5,60.0,1016.3,46.5,172,2.1
17.0,92.92,False,0.0,31.36,35.419,26.141,211.0,183.0,273.0,308.0,92.749,MEDIUM,17.0,1,1.0,0.0,0,28.4,60.0,1016.2,47.4,142,3.0
18.0,93.022,False,0.0,31.388,35.398,26.236,209.0,184.0,273.0,309.0,92.749,MEDIUM,18.0,1,1.0,0.0,0,28.6,58.0,1016.3,47.5,144,3.9
19.0,92.668,False,0.0,31.331,35.313,26.024,210.0,185.0,274.0,310.0,92.668,MEDIUM,19.0,1,1.0,0.0,0,28.6,59.0,1016.4,46.1,140,3.6
20.0,92.53,False,0.0,31.249,35.307,25.974,212.0,185.0,274.0,308.0,92.53,MEDIUM,20.0,1,1.0,0.0,0,28.4,60.0,1016.4,44.5,158,2.0
21.0,92.926,False,0.0,31.35,35.491,26.085,211.0,184.0,274.0,310.0,92.53,MEDIUM,21.0,1,1.0,0.0,0,28.3,59.0,1016.4,44.5,81,2.8
22.0,92.906,False,0.0,31.387,35.453,26.066,212.0,184.0,275.0,310.0,92.53,MEDIUM,22.0,1,1.0,0.0,0,28.4,60.0,1016.4,45.7,149,3.5
23.0,111.938,True,22.249,34.111,46.78,31.047,83.0,179.0,,317.0,92.53,MEDIUM,23.0,1,2.0,1.293,0,28.4,59.0,1016.4,45.4,150,2.7
24.0,107.087,False,0.0,45.854,35.283,25.95,211.0,185.0,274.0,307.0,92.53,HARD,1.0,1,4.0,15.925,0,28.5,60.0,1016.3,45.5,174,2.8
25.0,92.298,False,0.0,31.146,35.182,25.97,212.0,186.0,275.0,309.0,92.298,HARD,2.0,1,4.0,15.77,0,28.5,60.0,1016.3,45.6,173,3.4
26.0,92.41,False,0.0,31.18,35.194,26.036,210.0,185.0,275.0,310.0,92.298,HARD,3.0,1,4.0,15.524000000000001,0,28.5,61.0,1016.3,45.4,136,2.3
27.0,92.515,False,0.0,31.06,35.072,26.383,213.0,185.0,275.0,310.0,92.298,HARD,4.0,1,4.0,11.318,0,28.6,60.0,1016.2,44.4,154,3.1
28.0,99.376,False,0.0,30.997,35.165,33.214,212.0,185.0,176.0,311.0,92.298,HARD,5.0,1,2.0,18.652,0,28.8,60.0,1016.2,44.6,152,2.8
29.0,146.519,False,0.0,48.739,56.064,41.716,110.0,149.0,164.0,125.0,92.298,HARD,6.0,1,2.0,31.807,0,28.7,60.0,1016.2,44.9,176,3.6
30.0,124.42,False,0.0,58.171,37.695,28.554,131.0,171.0,250.0,272.0,92.298,HARD,7.0,1,2.0,18.212,0,28.3,60.0,1016.3,43.2,158,4.0
31.0,101.077,False,0.0,36.388,37.212,27.477,206.0,179.0,235.0,291.0,92.298,HARD,8.0,1,2.0,1.776,0,28.1,62.0,1016.3,42.1,148,3.2
32.0,,False,0.0,58.501,58.369,38.163,150.0,164.0,277.0,107.0,92.298,HARD,9.0,1,2.0,,0,28.4,61.0,1016.4,44.5,200,2.6
33.0,92.227,False,0.0,31.596,34.889,25.742,213.0,185.0,277.0,313.0,92.227,HARD,10.0,1,2.0,,0,28.3,61.0,1016.4,44.5,174,1.8
34.0,91.611,False,0.0,30.895,34.877,25.839,212.0,186.0,276.0,313.0,91.611,HARD,11.0,1,2.0,,0,28.5,61.0,1016.3,42.6,171,3.4
35.0,91.409,False,0.0,30.803,34.769,25.837,211.0,185.0,277.0,314.0,91.409,HARD,12.0,1,2.0,,0,28.4,61.0,1016.4,42.7,130,2.9
36.0,91.456,False,0.0,30.881,34.84,25.735,213.0,185.0,277.0,313.0,91.409,HARD,13.0,1,2.0,,0,28.3,61.0,1016.5,42.3,144,3.4
37.0,91.377,False,0.0,30.791,34.863,25.723,,186.0,277.0,314.0,91.377,HARD,14.0,1,2.0,,0,28.3,61.0,1016.4,41.2,155,2.2
38.0,91.526,False,0.0,30.847,34.938,25.741,211.0,186.0,276.0,313.0,91.377,HARD,15.0,1,2.0,,0,27.9,61.0,1016.6,40.2,137,2.9
39.0,91.336,False,0.0,30.814,34.729,25.793,213.0,185.0,276.0,313.0,91.336,HARD,16.0,1,2.0,,0,27.9,62.0,1016.4,40.9,147,2.5
40.0,91.487,False,0.0,30.938,34.881,25.668,,186.0,276.0,315.0,91.336,HARD,17.0,1,2.0,,0,28.1,62.0,1016.4,42.4,164,3.3
41.0,91.375,False,0.0,30.793,34.854,25.728,211.0,187.0,276.0,313.0,91.336,HARD,18.0,1,2.0,,0,28.3,62.0,1016.4,42.6,155,3.7
42.0,91.455,False,0.0,30.89,34.778,25.787,214.0,187.0,277.0,313.0,91.336,HARD,19.0,1,2.0,,0,28.4,62.0,1016.5,43.2,140,3.5
43.0,91.435,False,0.0,30.842,34.871,25.722,,186.0,277.0,314.0,91.336,HARD,20.0,1,2.0,,0,28.4,62.0,1016.5,42.3,139,3.7
44.0,91.452,False,0.0,30.814,34.908,25.73,215.0,186.0,278.0,315.0,91.336,HARD,21.0,1,2.0,,0,28.2,62.0,1016.5,41.2,176,3.2
45.0,91.537,False,0.0,30.84,34.912,25.785,214.0,187.0,276.0,313.0,91.336,HARD,22.0,1,2.0,,0,28.1,62.0,1016.4,41.2,127,2.8
46.0,91.788,False,0.0,30.951,35.099,25.738,,187.0,277.0,314.0,91.336,HARD,23.0,1,2.0,,0,28.1,61.0,1016.5,41.9,156,3.0
47.0,91.513,False,0.0,30.859,34.977,25.677,212.0,187.0,277.0,313.0,91.336,HARD,24.0,1,2.0,,0,28.2,61.0,1016.5,41.8,146,4.2
48.0,91.261,False,0.0,30.775,34.797,25.689,216.0,187.0,277.0,313.0,91.261,HARD,25.0,1,2.0,,0,28.1,62.0,1016.6,40.6,144,2.8
49.0,91.597,False,0.0,30.695,35.124,25.778,215.0,185.0,278.0,313.0,91.261,HARD,26.0,1,2.0,,0,28.2,62.0,1016.6,39.8,149,3.0
50.0,91.338,False,0.0,30.531,35.085,25.722,,187.0,278.0,314.0,91.261,HARD,27.0,1,2.0,,0,28.2,63.0,1016.6,39.3,166,3.1
51.0,91.284,False,0.0,30.587,34.98,25.717,214.0,188.0,279.0,312.0,91.261,HARD,28.0,1,2.0,,0,28.3,61.0,1016.6,40.3,170,2.2
52.0,91.428,False,0.0,30.619,35.113,25.696,212.0,186.0,277.0,311.0,91.261,HARD,29.0,1,2.0,,0,28.3,61.0,1016.5,40.4,144,3.5
53.0,91.473,False,0.0,30.632,35.137,25.704,213.0,186.0,279.0,313.0,91.261,HARD,30.0,1,2.0,,0,28.4,60.0,1016.5,41.0,147,3.5
54.0,91.546,False,0.0,30.627,35.09,25.829,216.0,188.0,278.0,312.0,91.261,HARD,31.0,1,2.0,,0,28.4,60.0,1016.5,41.0,147,3.5
