LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,83.186,False,0.0,,32.054,23.658,262.0,270.0,276.0,270.0,83.186,SOFT,4.0,2,2.0,0.618,0,24.3,66.0,1001.3,40.9,238,3.8
2.0,79.871,False,0.0,24.201,31.9,23.77,,276.0,280.0,300.0,79.871,SOFT,5.0,2,2.0,0.632,0,24.2,67.0,1001.3,39.8,222,2.6
3.0,79.364,False,0.0,23.249,32.086,24.029,266.0,269.0,273.0,324.0,79.364,SOFT,6.0,2,1.0,0.0,0,24.1,67.0,1001.4,38.7,150,3.2
4.0,80.766,False,0.0,24.251,32.339,24.176,261.0,265.0,273.0,292.0,79.364,SOFT,7.0,2,1.0,0.0,0,24.1,67.0,1001.3,38.3,246,2.3
5.0,80.827,False,0.0,24.165,32.393,24.269,260.0,262.0,272.0,296.0,79.364,SOFT,8.0,2,1.0,0.0,0,23.9,67.0,1001.3,40.6,234,3.4
6.0,80.876,False,0.0,24.212,32.383,24.281,263.0,265.0,273.0,295.0,79.364,SOFT,9.0,2,1.0,0.0,0,23.9,67.0,1001.3,41.4,218,2.2
7.0,80.973,False,0.0,24.231,32.481,24.261,262.0,261.0,272.0,293.0,79.364,SOFT,10.0,2,1.0,0.0,0,24.1,68.0,1001.2,41.4,224,1.5
8.0,80.989,False,0.0,24.111,32.622,24.256,265.0,265.0,273.0,296.0,79.364,SOFT,11.0,2,1.0,0.0,0,24.3,66.0,1001.4,42.4,214,1.4
9.0,81.042,False,0.0,24.174,32.54,24.328,264.0,266.0,274.0,295.0,79.364,SOFT,12.0,1,1.0,0.0,0,24.3,65.0,1001.3,42.5,230,2.0
10.0,81.003,False,0.0,24.129,32.546,24.328,263.0,266.0,274.0,296.0,79.364,SOFT,13.0,1,1.0,0.0,0,24.1,64.0,1001.3,42.4,99,2.3
11.0,80.954,False,0.0,24.127,32.52,24.307,266.0,265.0,275.0,297.0,79.364,SOFT,14.0,1,1.0,0.0,0,24.1,64.0,1001.2,42.3,254,1.8
12.0,81.376,False,0.0,24.149,32.844,24.383,264.0,271.0,275.0,298.0,79.364,SOFT,15.0,1,1.0,0.0,0,24.2,64.0,1001.3,41.8,233,1.9
13.0,80.807,False,0.0,24.043,32.594,24.17,,270.0,277.0,299.0,79.364,SOFT,16.0,1,1.0,0.0,0,24.4,64.0,1001.3,41.6,70,1.8
14.0,80.989,False,0.0,24.034,32.625,24.33,269.0,269.0,276.0,298.0,79.364,SOFT,17.0,1,1.0,0.0,0,24.4,64.0,1001.3,42.3,211,1.3
15.0,81.097,False,0.0,23.972,32.786,24.339,267.0,265.0,276.0,,79.364,SOFT,18.0,1,1.0,0.0,0,24.3,64.0,1001.2,42.4,232,1.3
16.0,81.223,False,0.0,24.044,32.787,24.392,268.0,270.0,277.0,300.0,79.364,SOFT,19.0,1,1.0,0.0,0,24.4,63.0,1001.3,41.7,256,1.3
17.0,84.876,True,21.593,23.941,32.874,28.061,,266.0,,,79.364,SOFT,20.0,1,1.0,0.0,0,24.6,62.0,1001.3,41.0,284,1.9
18.0,97.657,False,0.0,42.077,31.843,23.737,260.0,267.0,276.0,248.0,79.364,MEDIUM,1.0,1,4.0,16.373,0,24.7,62.0,1001.3,39.9,277,2.2
19.0,79.725,False,0.0,23.879,31.93,23.916,264.0,264.0,275.0,300.0,79.364,MEDIUM,2.0,1,4.0,15.463,0,24.3,62.0,1001.2,39.2,196,1.9
20.0,79.966,False,0.0,23.956,32.09,23.92,,267.0,278.0,301.0,79.364,MEDIUM,3.0,1,4.0,14.613,0,24.1,65.0,1001.2,39.2,99,1.2
