LapNumber,Compound,TyreLife,TrackAbrasiveness,Temperature,LapTimeSeconds
1,Soft,100,8,25,85.2
2,Soft,95,8,25.5,85.1
3,Soft,90,8,26,85.0
4,Soft,85,8,26.5,84.9
5,Soft,80,8,27,84.8
6,Soft,75,8,27.5,84.7
7,Soft,70,8,28,84.6
8,Soft,65,8,28.5,84.5
9,Soft,60,8,29,84.4
10,Soft,55,8,29.5,84.3
11,Medium,100,8,30,86.2
12,Medium,95,8,30.5,86.1
13,Medium,90,8,31,86.0
14,Medium,85,8,31.5,85.9
15,Medium,80,8,32,85.8
16,Medium,75,8,32.5,85.7
17,Medium,70,8,33,85.6
18,Medium,65,8,33.5,85.5
19,Medium,60,8,34,85.4
20,Medium,55,8,34.5,85.3
21,Hard,100,8,35,87.2
22,Hard,95,8,35.5,87.1
23,Hard,90,8,36,87.0
24,Hard,85,8,36.5,86.9
25,Hard,80,8,37,86.8
26,Hard,75,8,37.5,86.7
27,Hard,70,8,38,86.6
28,Hard,65,8,38.5,86.5
29,Hard,60,8,39,86.4
30,Hard,55,8,39.5,86.3
