LapNumber,LapTime,PitStop,PitTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,PersonalBestTime,Compound,TyreLife,TrackStatus,Position,TimeGapToLeader,TimeGapToBehind,AirTemp,Humidity,Pressure,TrackTemp,WindDirection,WindSpeed
1.0,90.354,False,0.0,,31.144,28.856,327.0,316.0,312.0,298.0,90.354,HARD,1.0,,6.0,2.731,0,33.8,32.0,993.2,51.3,191,1.9
2.0,86.17,False,0.0,28.048,29.474,28.648,315.0,334.0,311.0,316.0,86.17,HARD,2.0,,6.0,3.785,0,33.8,30.0,993.2,50.4,183,0.7
3.0,85.855,False,0.0,27.731,29.496,28.628,314.0,332.0,312.0,321.0,85.855,HARD,3.0,,6.0,4.379,0,33.7,30.0,993.3,50.6,185,2.3
4.0,85.633,False,0.0,27.884,29.335,28.414,313.0,318.0,312.0,317.0,85.633,HARD,4.0,,6.0,5.317,0,33.7,30.0,993.2,50.7,192,2.3
5.0,85.218,False,0.0,27.721,29.22,28.277,,318.0,312.0,,85.218,HARD,5.0,,6.0,5.875,0,33.7,31.0,993.2,50.6,194,1.8
6.0,85.096,False,0.0,27.832,29.054,28.21,,318.0,312.0,316.0,85.096,HARD,6.0,,6.0,6.368,0,33.5,32.0,993.1,49.6,170,2.1
7.0,85.042,False,0.0,27.771,28.994,28.277,,319.0,311.0,314.0,85.042,HARD,7.0,,6.0,6.992,0,33.4,32.0,993.1,49.5,0,0.6
8.0,84.918,False,0.0,27.712,29.036,28.17,,317.0,312.0,319.0,84.918,HARD,8.0,,6.0,7.34,0,33.3,32.0,993.1,49.5,200,1.0
9.0,85.05,False,0.0,27.909,28.956,28.185,312.0,317.0,312.0,315.0,84.918,HARD,9.0,,6.0,8.015,0,33.3,31.0,993.1,48.7,219,1.2
10.0,84.964,False,0.0,27.82,29.008,28.136,310.0,317.0,312.0,318.0,84.918,HARD,10.0,,6.0,8.902,0,33.3,31.0,993.0,48.6,196,1.8
